row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022
31,31,31,Chi khác hoạt động bảo hiểm gốc(31 = 32 + 33),,(4.080.408.489.759),(4.434.930.976.748),,,-4080408489759.0,-4434930976748.0
32,32,32,Chi hoa hồng,,(2.517.413.586.588),(2.811.768.411.406),,,-2517413586588.0,-2811768411406.0
33,33,33,Chi khác hoạt động kinh doanh bảo hiểm,29,(1.562.994.903.171),(1.623.162.565.342),,29.0,-1562994903171.0,-1623162565342.0
41,41,41,Tổng chi trực tiếp hoạt động kinh doanhbảo hiểm (41 = 29 + 30 + 31),,(42.619.498.752.552),(40.583.395.891.170),,,-42619498752552.0,-40583395891170.0
42,42,42,(Lỗ)/Lợi nhuận gộp hoạt động kinh doanhbảo hiểm (42 = 15 + 41),,(2.539.018.566.999),104.851.183.757,,,-2539018566999.0,104851183757.0
43.1,43.1,43.1,Doanh thu hoạt động khác,,602.343.898.969,607.101.964.174,,,602343898969.0,607101964174.0
43.2,43.2,43.2,Chi phí hoạt động khác,,(613.279.348.072),(588.173.106.926),,,-613279348072.0,-588173106926.0
43,43,43,(Lỗ)/Lợi nhuận thuần từ các hoạt độngkhác(43 = 43.1 + 43.2),30,(10.935.449.103),18.928.857.248,,30.0,-10935449103.0,18928857248.0
44.1,44.1,44.1,Doanh thu hoạt động tài chính,31.1,13.543.366.344.269,9.922.384.516.749,,311.0,13543366344269.0,9922384516749.0
44.2,44.2,44.2,Chi phí hoạt động tài chính,31.2,(2.826.923.433.974),(1.840.260.685.326),,312.0,-2826923433974.0,-1840260685326.0
44,44,44,Lợi nhuận hoạt động tài chính(44 = 44.1 + 44.2),,10.716.442.910.295,8.082.123.831.423,,,10716442910295.0,8082123831423.0
45,45,45,"Phần lợi nhuận trong công ty liên kết, đơnvị kinh doanh đồng kiểm soát",14.3.1,102.048.945.174,86.451.708.165,,1431.0,102048945174.0,86451708165.0
46,46,46,Chi phí bán hàng,32,(1.094.026.078.899),(2.281.905.372.173),,32.0,-1094026078899.0,-2281905372173.0
47,47,47,Chi phí quản lý doanh nghiệp,33,(4.968.385.574.451),(4.019.572.408.261),,33.0,-4968385574451.0,-4019572408261.0
48.1,48.1,48.1,Thu nhập khác,,34.409.239.555,22.160.700.664,,,34409239555.0,22160700664.0
48.2,48.2,48.2,Chi phí khác,,(4.236.725.398),(2.874.937.192),,,-4236725398.0,-2874937192.0
48,48,48,Lợi nhuận khác (48 = 48.1 + 48.2),34,30.172.514.157,19.285.763.472,,34.0,30172514157.0,19285763472.0
50,50,50,TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ(50 = 42 + 43 + 44 + 45 + 46 + 47 + 48),,2.236.298.700.174,2.010.163.563.631,,,2236298700174.0,2010163563631.0
51,51,51,Chi phí thuế thu nhập doanh nghiệphiện hành,16.1,(372.973.834.582),(383.042.077.773),,161.0,-372973834582.0,-383042077773.0
52,52,52,Chi phí thuế thu nhập doanh nghiệp hoãnlại,16.2,(3.335.621.421),(1.515.105.473),,162.0,-3335621421.0,-1515105473.0
