row_label_raw,row_label_full,col_0,Bảo hiểm nhân thọ VND,Bảo hiểm phi nhân thọ VND,Tổng cộng VND,numeric__Bảo hiểm nhân thọ VND,numeric__Bảo hiểm phi nhân thọ VND,numeric__Tổng cộng VND
Ngày 31/12/2022,Ngày 31/12/2022,Ngày 31/12/2022,-,573.767.690.885,573.767.690.885,,573767690885.0,573767690885.0
Phát sinh trong năm,Phát sinh trong năm,Phát sinh trong năm,1.443.054.933.473,1.058.331.571.962,2.501.386.505.435,1443054933473.0,1058331571962.0,2501386505435.0
Phân bổ vào chi phí trong năm,Phân bổ vào chi phí trong năm,Phân bổ vào chi phí trong năm,(1.443.054.933.473),(1.074.358.653.115),(2.517.413.586.588),-1443054933473.0,-1074358653115.0,-2517413586588.0
Ngày 31/12/2023,Ngày 31/12/2023,Ngày 31/12/2023,-,557.740.609.732,557.740.609.732,,557740609732.0,557740609732.0
