row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2022 > Giá trị VND,Ngày 31 tháng 12 năm 2022 > Số có khả năng trả nợ VND,Ngày 31 tháng 12 năm 2022 > Tăng VND,Ngày 31 tháng 12 năm 2022 > Giảm VND,Ngày 31 tháng 12 năm 2023 > Giá trị VND,Ngày 31 tháng 12 năm 2023 > Số có khả năng trả nợ VND,numeric__Ngày 31 tháng 12 năm 2022 > Giá trị VND,numeric__Ngày 31 tháng 12 năm 2022 > Số có khả năng trả nợ VND,numeric__Ngày 31 tháng 12 năm 2022 > Tăng VND,numeric__Ngày 31 tháng 12 năm 2022 > Giảm VND,numeric__Ngày 31 tháng 12 năm 2023 > Giá trị VND,numeric__Ngày 31 tháng 12 năm 2023 > Số có khả năng trả nợ VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngân hàng (*),Vay ngắn hạn > Vay ngân hàng (*),Vay ngân hàng (*),981.076.722.026,981.076.722.026,16.914.769.583.003,(15.343.603.273.529),2.552.243.031.500,2.552.243.031.500,981076722026.0,981076722026.0,16914769583003.0,-15343603273529.0,2552243031500.0,2552243031500.0
- Ngân hàng TMCP Ngoại thương Việt Nam,Vay ngắn hạn > - Ngân hàng TMCP Ngoại thương Việt Nam,- Ngân hàng TMCP Ngoại thương Việt Nam,450.000.000.000,450.000.000.000,3.960.260.072.738,(3.308.967.041.238),1.101.293.031.500,1.101.293.031.500,450000000000.0,450000000000.0,3960260072738.0,-3308967041238.0,1101293031500.0,1101293031500.0
- Ngân hàng TMCP Hàng Hải,Vay ngắn hạn > - Ngân hàng TMCP Hàng Hải,- Ngân hàng TMCP Hàng Hải,-,-,700.000.000.000,(400.000.000.000),300.000.000.000,300.000.000.000,,,700000000000.0,-400000000000.0,300000000000.0,300000000000.0
- Các ngân hàng khác,Vay ngắn hạn > - Các ngân hàng khác,- Các ngân hàng khác,531.076.722.026,531.076.722.026,12.254.509.510.265,(11.634.636.232.291),1.150.950.000.000,1.150.950.000.000,531076722026.0,531076722026.0,12254509510265.0,-11634636232291.0,1150950000000.0,1150950000000.0
Vay các đối tượng khác,Vay ngắn hạn > Vay các đối tượng khác,Vay các đối tượng khác,-,-,5.818.471.858.955,(4.998.111.037.812),820.360.821.143,820.360.821.143,,,5818471858955.0,-4998111037812.0,820360821143.0,820360821143.0
,,,981.076.722.026,981.076.722.026,22.733.241.441.958,(20.341.714.311.341),3.372.603.852.643,3.372.603.852.643,981076722026.0,981076722026.0,22733241441958.0,-20341714311341.0,3372603852643.0,3372603852643.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng (**),Vay dài hạn > Vay ngân hàng (**),Vay ngân hàng (**),91.023.530.915,91.023.530.915,-,(89.637.450.915),1.386.080.000,1.386.080.000,91023530915.0,91023530915.0,,-89637450915.0,1386080000.0,1386080000.0
- Ngân hàng TMCP Ngoại thương Việt Nam,Vay dài hạn > - Ngân hàng TMCP Ngoại thương Việt Nam,- Ngân hàng TMCP Ngoại thương Việt Nam,90.746.152.738,90.746.152.738,-,(89.360.072.738),1.386.080.000,1.386.080.000,90746152738.0,90746152738.0,,-89360072738.0,1386080000.0,1386080000.0
- Các ngân hàng khác,Vay dài hạn > - Các ngân hàng khác,- Các ngân hàng khác,277.378.177,277.378.177,-,(277.378.177),-,-,277378177.0,277378177.0,,-277378177.0,,
,,,91.023.530.915,91.023.530.915,-,(89.637.450.915),1.386.080.000,1.386.080.000,91023530915.0,91023530915.0,,-89637450915.0,1386080000.0,1386080000.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.072.100.252.941,1.072.100.252.941,22.733.241.441.958,(20.431.351.762.256),3.373.989.932.643,3.373.989.932.643,1072100252941.0,1072100252941.0,22733241441958.0,-20431351762256.0,3373989932643.0,3373989932643.0
"(*) Bao gồm các khoản vay dài hạn đến hạn trả và các khoản vay ngắn hạn với mục đích bổ sung vốn lưu động, kinh doanh chứng chỉ tiền gửi, trái phiếu chính phủ và có tài sản đảm bảo tin chấp, hợp đồng tiền gửi và chịu lãi suất từ 2,9%/năm đến 10,2%/năm.","(*) Bao gồm các khoản vay dài hạn đến hạn trả và các khoản vay ngắn hạn với mục đích bổ sung vốn lưu động, kinh doanh chứng chỉ tiền gửi, trái phiếu chính phủ và có tài sản đảm bảo tin chấp, hợp đồng tiền gửi và chịu lãi suất từ 2,9%/năm đến 10,2%/năm.","(*) Bao gồm các khoản vay dài hạn đến hạn trả và các khoản vay ngắn hạn với mục đích bổ sung vốn lưu động, kinh doanh chứng chỉ tiền gửi, trái phiếu chính phủ và có tài sản đảm bảo tin chấp, hợp đồng tiền gửi và chịu lãi suất từ 2,9%/năm đến 10,2%/năm.","(*) Bao gồm các khoản vay dài hạn đến hạn trả và các khoản vay ngắn hạn với mục đích bổ sung vốn lưu động, kinh doanh chứng chỉ tiền gửi, trái phiếu chính phủ và có tài sản đảm bảo tin chấp, hợp đồng tiền gửi và chịu lãi suất từ 2,9%/năm đến 10,2%/năm.","(*) Bao gồm các khoản vay dài hạn đến hạn trả và các khoản vay ngắn hạn với mục đích bổ sung vốn lưu động, kinh doanh chứng chỉ tiền gửi, trái phiếu chính phủ và có tài sản đảm bảo tin chấp, hợp đồng tiền gửi và chịu lãi suất từ 2,9%/năm đến 10,2%/năm.","(*) Bao gồm các khoản vay dài hạn đến hạn trả và các khoản vay ngắn hạn với mục đích bổ sung vốn lưu động, kinh doanh chứng chỉ tiền gửi, trái phiếu chính phủ và có tài sản đảm bảo tin chấp, hợp đồng tiền gửi và chịu lãi suất từ 2,9%/năm đến 10,2%/năm.","(*) Bao gồm các khoản vay dài hạn đến hạn trả và các khoản vay ngắn hạn với mục đích bổ sung vốn lưu động, kinh doanh chứng chỉ tiền gửi, trái phiếu chính phủ và có tài sản đảm bảo tin chấp, hợp đồng tiền gửi và chịu lãi suất từ 2,9%/năm đến 10,2%/năm.","(*) Bao gồm các khoản vay dài hạn đến hạn trả và các khoản vay ngắn hạn với mục đích bổ sung vốn lưu động, kinh doanh chứng chỉ tiền gửi, trái phiếu chính phủ và có tài sản đảm bảo tin chấp, hợp đồng tiền gửi và chịu lãi suất từ 2,9%/năm đến 10,2%/năm.","(*) Bao gồm các khoản vay dài hạn đến hạn trả và các khoản vay ngắn hạn với mục đích bổ sung vốn lưu động, kinh doanh chứng chỉ tiền gửi, trái phiếu chính phủ và có tài sản đảm bảo tin chấp, hợp đồng tiền gửi và chịu lãi suất từ 2,9%/năm đến 10,2%/năm.",,,,,,
"(**) Các khoản vay dài hạn ngân hàng theo dự án đầu tư với lãi suất từ 5,55%/năm đến 9,25%/năm, được đảm bảo bởi các hợp đồng tiền gửi và tài sản cố định hữu hình.","(**) Các khoản vay dài hạn ngân hàng theo dự án đầu tư với lãi suất từ 5,55%/năm đến 9,25%/năm, được đảm bảo bởi các hợp đồng tiền gửi và tài sản cố định hữu hình.","(**) Các khoản vay dài hạn ngân hàng theo dự án đầu tư với lãi suất từ 5,55%/năm đến 9,25%/năm, được đảm bảo bởi các hợp đồng tiền gửi và tài sản cố định hữu hình.","(**) Các khoản vay dài hạn ngân hàng theo dự án đầu tư với lãi suất từ 5,55%/năm đến 9,25%/năm, được đảm bảo bởi các hợp đồng tiền gửi và tài sản cố định hữu hình.","(**) Các khoản vay dài hạn ngân hàng theo dự án đầu tư với lãi suất từ 5,55%/năm đến 9,25%/năm, được đảm bảo bởi các hợp đồng tiền gửi và tài sản cố định hữu hình.","(**) Các khoản vay dài hạn ngân hàng theo dự án đầu tư với lãi suất từ 5,55%/năm đến 9,25%/năm, được đảm bảo bởi các hợp đồng tiền gửi và tài sản cố định hữu hình.","(**) Các khoản vay dài hạn ngân hàng theo dự án đầu tư với lãi suất từ 5,55%/năm đến 9,25%/năm, được đảm bảo bởi các hợp đồng tiền gửi và tài sản cố định hữu hình.","(**) Các khoản vay dài hạn ngân hàng theo dự án đầu tư với lãi suất từ 5,55%/năm đến 9,25%/năm, được đảm bảo bởi các hợp đồng tiền gửi và tài sản cố định hữu hình.","(**) Các khoản vay dài hạn ngân hàng theo dự án đầu tư với lãi suất từ 5,55%/năm đến 9,25%/năm, được đảm bảo bởi các hợp đồng tiền gửi và tài sản cố định hữu hình.",,,,,,
