row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thặng dư vốn cổ phần triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ dự phòng tài chính triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thặng dư vốn cổ phần triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Tổng cộng triệu đồng
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,37.234.046,8.969.827,2.357.947,4.691.966,8.418.544,61.672.330,37234046.0,8969827.0,2357947.0,4691966.0,8418544.0,61672330.0
Lợi nhuận thuần trong năm (trình bày lại),Lợi nhuận thuần trong năm (trình bày lại),Lợi nhuận thuần trong năm (trình bày lại),-,-,-,-,5.053.917,5.053.917,,,,,5053917.0,5053917.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,259.661,519.321,(778.982),-,,,259661.0,519321.0,-778982.0,
"Trích lập quỹ khen thưởng, phúc lợi trong năm","Trích lập quỹ khen thưởng, phúc lợi trong năm","Trích lập quỹ khen thưởng, phúc lợi trong năm",-,-,-,-,(1.674.873),(1.674.873),,,,,-1674873.0,-1674873.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,(30.081),(30.081),,,,,-30081.0,-30081.0
Số dư tại ngày 31 tháng 12 năm 2018 (trình bày lại),Số dư tại ngày 31 tháng 12 năm 2018 (trình bày lại),Số dư tại ngày 31 tháng 12 năm 2018 (trình bày lại),37.234.046,8.969.827,2.617.608,5.211.287,10.988.525,65.021.293,37234046.0,8969827.0,2617608.0,5211287.0,10988525.0,65021293.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,9.283.297,9.283.297,,,,,9283297.0,9283297.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,464.164,928.330,(1.392.494),-,,,464164.0,928330.0,-1392494.0,
"Trích lập quỹ khen thưởng, phúc lợi trong năm","Trích lập quỹ khen thưởng, phúc lợi trong năm","Trích lập quỹ khen thưởng, phúc lợi trong năm",-,-,-,-,-,-,,,,,,
Sử dụng quỹ DPTC đề xử lý rủi ro trong năm,"Trích lập quỹ khen thưởng, phúc lợi trong năm > Sử dụng quỹ DPTC đề xử lý rủi ro trong năm",Sử dụng quỹ DPTC đề xử lý rủi ro trong năm,-,-,-,(2.220),-,(2.220),,,,-2220.0,,-2220.0
Điều chỉnh khác,"Trích lập quỹ khen thưởng, phúc lợi trong năm > Điều chỉnh khác",Điều chỉnh khác,-,-,-,-,4.189,4.189,,,,,4189.0,4189.0
Số dư tại ngày 31 tháng 12 năm 2019,"Trích lập quỹ khen thưởng, phúc lợi trong năm > Số dư tại ngày 31 tháng 12 năm 2019",Số dư tại ngày 31 tháng 12 năm 2019,37.234.046,8.969.827,3.081.772,6.137.397,18.883.517,74.306.559,37234046.0,8969827.0,3081772.0,6137397.0,18883517.0,74306559.0
