row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh triệu đồng,Giá trị ghi sổ > Giữ đến ngày đáo hạn triệu đồng,Giá trị ghi sổ > Cho vay và phải thu triệu đồng,Giá trị ghi sổ > Sẵn sàng để bán triệu đồng,Giá trị ghi sổ > Tài sản và nợ khác hạch toán theo giá trị phân bổ triệu đồng,Giá trị ghi sổ > Tổng cộng giá trị ghi sổ triệu đồng,Giá trị ghi sổ > Giá trị hợp lý triệu đồng,numeric__Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh triệu đồng,numeric__Giá trị ghi sổ > Giữ đến ngày đáo hạn triệu đồng,numeric__Giá trị ghi sổ > Cho vay và phải thu triệu đồng,numeric__Giá trị ghi sổ > Sẵn sàng để bán triệu đồng,numeric__Giá trị ghi sổ > Tài sản và nợ khác hạch toán theo giá trị phân bổ triệu đồng,numeric__Giá trị ghi sổ > Tổng cộng giá trị ghi sổ triệu đồng,numeric__Giá trị ghi sổ > Giá trị hợp lý triệu đồng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",8.146.848,-,-,-,-,8.146.848,8.146.848,8146848.0,,,,,8146848.0,8146848.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,24.855.833,-,-,-,-,24.855.833,24.855.833,24855833.0,,,,,24855833.0,24855833.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,129.708.014,-,-,129.708.014,(*),,,129708014.0,,,129708014.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,2.474.983,-,-,-,-,2.474.983,(*),2474983.0,,,,,2474983.0,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,469.712,-,-,-,-,469.712,(*),469712.0,,,,,469712.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,925.252.830,-,-,925.252.830,(*),,,925252830.0,,,925252830.0,
Chứng khoán sẵn sáng để bán,Chứng khoán sẵn sáng để bán,Chứng khoán sẵn sáng để bán,-,-,-,95.855.956,-,95.855.956,(*),,,,95855956.0,,95855956.0,
Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,15.367.993,-,-,-,15.367.993,(*),,15367993.0,,,,15367993.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,22.962,-,22.962,(*),,,,22962.0,,22962.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,30.498.410,-,-,30.498.410,(*),,,30498410.0,,,30498410.0,
,,,35.947.376,15.367.993,1.085.459.254,95.878.918,-,1.232.653.541,(*),35947376.0,15367993.0,1085459254.0,95878918.0,,1232653541.0,
Các khoản nợ chính phủ và NHNN,Các khoản nợ chính phủ và NHNN,Các khoản nợ chính phủ và NHNN,-,-,-,-,70.602.893,70.602.893,,,,,,70602893.0,70602893.0,
Tiền gửi và vay NHNN và các TCTD khác,Tiền gửi và vay NHNN và các TCTD khác,Tiền gửi và vay NHNN và các TCTD khác,-,-,-,-,106.799.400,106.799.400,(*),,,,,106799400.0,106799400.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,889.792.714,889.792.714,(*),,,,,889792714.0,889792714.0,
"Vốn tải trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,-,-,5.775.899,5.775.899,(*),,,,,5775899.0,5775899.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,56.966.353,56.966.353,(*),,,,,56966353.0,56966353.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,23.519.351,23.519.351,(*),,,,,23519351.0,23519351.0,
,,,-,-,-,-,1.153.456.610,1.153.456.610,(*),,,,,1153456610.0,1153456610.0,
