row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2019 triệu đồng,Ngày 31 tháng 12 năm 2018 triệu đồng(trình bày lại),numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2019 triệu đồng,numeric__Ngày 31 tháng 12 năm 2018 triệu đồng(trình bày lại)
Chứng khoán đầu tư giữ đến ngày đáo hạn,TÀI SẢN > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,12.2,15.367.993,16.013.551,122.0,15367993.0,16013551.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,12.4,(7.877.203),(2.684.357),124.0,-7877203.0,-2684357.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",13,5.751.782,6.449.775,13.0,5751782.0,6449775.0
Đầu tư vào công ty con,TÀI SẢN > Đầu tư vào công ty con,Đầu tư vào công ty con,13.1,4.040.032,4.590.032,131.0,4040032.0,4590032.0
Vốn góp liên doanh,TÀI SẢN > Vốn góp liên doanh,Vốn góp liên doanh,13.2,1.688.788,1.688.788,132.0,1688788.0,1688788.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,22.962,170.955,,22962.0,170955.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,10.793.632,10.764.514,,10793632.0,10764514.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,14,6.314.789,6.090.006,14.0,6314789.0,6090006.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,14.577.971,13.699.399,,14577971.0,13699399.0
Khấu hao tài sản cố định,TÀI SẢN > Khấu hao tài sản cố định,Khấu hao tài sản cố định,,(8.263.182),(7.609.393),,-8263182.0,-7609393.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,15,4.478.843,4.674.508,15.0,4478843.0,4674508.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,6.172.117,6.148.803,,6172117.0,6148803.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(1.693.274),(1.474.295),,-1693274.0,-1474295.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16,30.530.512,30.187.277,16.0,30530512.0,30187277.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,16.1,21.088.360,20.720.722,161.0,21088360.0,20720722.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",,6.498.602,6.436.905,,6498602.0,6436905.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16.2,2.943.708,3.029.808,162.0,2943708.0,3029808.0
Các khoản dự phòng rủi ro cho các tài sản,Các khoản dự phòng rủi ro cho các tài sản,Các khoản dự phòng rủi ro cho các tài sản,,,,,,
Có nội bằng khác,Các khoản dự phòng rủi ro cho các tài sản > Có nội bằng khác,Có nội bằng khác,,(158),(158),,-158.0,-158.0
TỔNG TÀI SẢN,Các khoản dự phòng rủi ro cho các tài sản > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,1.228.542.264,1.154.647.795,,1228542264.0,1154647795.0
