row_label_raw,row_label_full,col_0,2019triệu đồng,2018triệu đồng(trình bày lại),numeric__2019triệu đồng,numeric__2018triệu đồng(trình bày lại)
"Chỉ nộp thuế và các khoản phí, lệ phí","Chỉ nộp thuế và các khoản phí, lệ phí","Chỉ nộp thuế và các khoản phí, lệ phí",17.524,23.853,17524.0,23853.0
Chỉ phí cho nhân viên,Chỉ phí cho nhân viên,Chỉ phí cho nhân viên,9.024.732,7.011.032,9024732.0,7011032.0
Chi lương và phụ cấp,Chi lương và phụ cấp,Chi lương và phụ cấp,7.419.278,5.515.510,7419278.0,5515510.0
Các khoản chỉ đóng góp theo lương,Các khoản chỉ đóng góp theo lương,Các khoản chỉ đóng góp theo lương,530.967,527.289,530967.0,527289.0
Chi trợ cấp,Chi trợ cấp,Chi trợ cấp,2.994,14.267,2994.0,14267.0
Chi khác,Chi khác,Chi khác,1.071.493,953.966,1071493.0,953966.0
Chỉ về tài sản,Chỉ về tài sản,Chỉ về tài sản,2.210.981,2.322.571,2210981.0,2322571.0
Khấu hao tài sản cố định,Khấu hao tài sản cố định,Khấu hao tài sản cố định,952.240,1.021.001,952240.0,1021001.0
Chi khác về tài sản,Chi khác về tài sản,Chi khác về tài sản,1.258.741,1.301.570,1258741.0,1301570.0
Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,2.819.158,3.151.743,2819158.0,3151743.0
Chi công tác phí,Chi công tác phí,Chi công tác phí,148.039,200.858,148039.0,200858.0
Chi các hoạt động đoàn thể của TCTD,Chi các hoạt động đoàn thể của TCTD,Chi các hoạt động đoàn thể của TCTD,30.755,50.495,30755.0,50495.0
Chi khác cho hoạt động quản lý,Chi khác cho hoạt động quản lý,Chi khác cho hoạt động quản lý,2.640.364,2.900.390,2640364.0,2900390.0
Chi bảo hiểm tiền gửi của khách hàng,Chi bảo hiểm tiền gửi của khách hàng,Chi bảo hiểm tiền gửi của khách hàng,660.887,628.290,660887.0,628290.0
,,,14.733.282,13.137.489,14733282.0,13137489.0
