row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2019triệu đồng,Ngày 31 tháng 12năm 2018triệu đồng(trình bày lại),numeric__Ngày 31 tháng 12năm 2019triệu đồng,numeric__Ngày 31 tháng 12năm 2018triệu đồng(trình bày lại)
"Các khoản thu, chi hộ các tổ chức khác","Các khoản thu, chi hộ các tổ chức khác","Các khoản thu, chi hộ các tổ chức khác",1.491.175,20.950.931,1491175.0,20950931.0
Tiền giữ hộ và đợi thanh toán,Tiền giữ hộ và đợi thanh toán,Tiền giữ hộ và đợi thanh toán,150.501,131.942,150501.0,131942.0
Thuế TNDN phải trả/(được hoàn),Thuế TNDN phải trả/(được hoàn),Thuế TNDN phải trả/(được hoàn),608.984,(32.602),608984.0,-32602.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,1.014.971,956.283,1014971.0,956283.0
Thuế và phí phải trả,Thuế và phí phải trả,Thuế và phí phải trả,170.111,139.506,170111.0,139506.0
Phải trả NHNN do thu hồi nợ đã xóa,Phải trả NHNN do thu hồi nợ đã xóa,Phải trả NHNN do thu hồi nợ đã xóa,92.380,90.046,92380.0,90046.0
Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,6.008,6.005,6008.0,6005.0
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,117.675,522.803,117675.0,522803.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,490.905,318.200,490905.0,318200.0
,,,4.142.710,23.083.114,4142710.0,23083114.0
