row_label_raw,row_label_full,Họ và tên,Chức vụ,numeric__Chức vụ
Ông Lê Đức Thọ,Ông Lê Đức Thọ,Ông Lê Đức Thọ,Chủ tịch (nhiệm kỳ 2014-2019 được bầu ngày 31/10/2018 theo Nghị quyết 568/NQ-HĐQT-NHCT1.2 ngày 31/10/2018; nhiệm kỳ 2019-2024 được bầu ngày 23/4/2019 theo Nghị quyết 118/NQ-HĐQT-NHCT1.2 ngày 23/4/2019),
Ông Trần Minh Bình,Ông Trần Minh Bình,Ông Trần Minh Bình,"Thành viên (được bầu bổ sung vào HĐQT nhiệm kỳ 2014-2019 từ ngày 8/12/2018 tại Đại hội đồng cổ đông bất thường ngày 8/12/2018 theo Nghị quyết Đại hội đồng cổ đông số 19/NQ-ĐHĐCD ngày 8/12/2018; được bầu vào HĐQT nhiệm kỳ 2019-2024 ngày 23/4/2019 tại Đại hội đồng cổ đông thường niên 2019, ngày 23/4/2019)",
Bà Trần Thu Huyền,Bà Trần Thu Huyền,Bà Trần Thu Huyền,"Thành viên (bầu bổ sung vào HĐQT nhiệm kỳ 2014-2019 ngày 24/7/2014; được bầu vào HĐQT nhiệm kỳ 2019-2024 ngày 23/4/2019 tại Đại hội đồng cổ đông thường niên 2019, ngày 23/4/2019)",
Ông Hiroshi Yamaguchi,Ông Hiroshi Yamaguchi,Ông Hiroshi Yamaguchi,"Thành viên (bầu bổ sung vào HĐQT nhiệm kỳ 2014-2019 ngày 17/04/2017; được bầu vào HĐQT nhiệm kỳ 2019-2024 ngày 23/4/2019 tại Đại hội đồng cổ đông thường niên 2019, ngày 23/4/2019)",
Ông Hideaki Takase,Ông Hideaki Takase,Ông Hideaki Takase,"Thành viên (bầu bổ sung vào HĐQT nhiệm kỳ 2014-2019 ngày 21/04/2017; được bầu vào HĐQT nhiệm kỳ 2019-2024 ngày 23/4/2019 tại Đại hội đồng cổ đông thường niên 2019, ngày 23/4/2019)",
Ông Nguyễn Thế Huân,Ông Nguyễn Thế Huân,Ông Nguyễn Thế Huân,"Thành viên (được bầu vào HĐQT nhiệm kỳ 2019-2024 ngày 23/4/2019 tại Đại hội đồng cổ đông thường niên 2019, ngày 23/4/2019)",
Bà Phạm Thị Thanh Hoài,Bà Phạm Thị Thanh Hoài,Bà Phạm Thị Thanh Hoài,"Thành viên (được bầu vào HĐQT nhiệm kỳ 2019-2024 ngày 23/4/2019 tại Đại hội đồng cổ đông thường niên 2019, ngày 23/4/2019)",
Ông Trần Văn Tần,Ông Trần Văn Tần,Ông Trần Văn Tần,"Thành viên (được bầu vào HĐQT nhiệm kỳ 2019-2024 ngày 23/4/2019 tại Đại hội đồng cổ đông thường niên 2019, ngày 23/4/2019)",
Ông Cát Quang Dương,Ông Cát Quang Dương,Ông Cát Quang Dương,"Thành viên (miễn nhiệm từ ngày 23/4/2019 tại Đại hội đồng cổ đông thường niên 2019, ngày 23/4/2019)",
Ông Phùng Khắc Kế,Ông Phùng Khắc Kế,Ông Phùng Khắc Kế,"Thành viên (miễn nhiệm từ ngày 23/4/2019 tại Đại hội đồng cổ đông thường niên 2019, ngày 23/4/2019)",
