row_label_raw,row_label_full,Chỉ tiêu,Năm 2018 Trình bày lại (Sau điều chỉnh của KTNN),Năm 2018 Số đã công bố (Sau kiểm toán của kiểm toán độc lập),Điều chỉnh,numeric__Năm 2018 Trình bày lại (Sau điều chỉnh của KTNN),numeric__Năm 2018 Số đã công bố (Sau kiểm toán của kiểm toán độc lập),numeric__Điều chỉnh
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,72.982.002,73.289.334,(307.332),72982002.0,73289334.0,-307332.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,21.486.177,21.793.509,(307.332),21486177.0,21793509.0,-307332.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,4.212.848,4.213.470,(622),4212848.0,4213470.0,-622.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,2.129.947,2.130.569,(622),2129947.0,2130569.0,-622.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,2.749.980,2.739.955,10.025,2749980.0,2739955.0,10025.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(967.149),(966.664),(485),-967149.0,-966664.0,-485.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,1.782.831,1.773.291,9.540,1782831.0,1773291.0,9540.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,(13.137.489),(13.315.585),178.096,-13137489.0,-13315585.0,178096.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,13.936.766,14.057.084,(120.318),13936766.0,14057084.0,-120318.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(7.743.247),(7.691.666),(51.581),-7743247.0,-7691666.0,-51581.0
Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,6.193.519,6.365.418,(171.899),6193519.0,6365418.0,-171899.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(1.139.602),(1.172.204),32.602,-1139602.0,-1172204.0,32602.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,(1.139.602),(1.172.204),32.602,-1139602.0,-1172204.0,32602.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,5.053.917,5.193.214,(139.297),5053917.0,5193214.0,-139297.0
