row_label_raw,row_label_full,col_0,Dự phòng chung triệu đồng(trình bày lại),Dự phòng cụ thể triệu đồng(trình bày lại),Tổng cộng triệu đồng(trình bày lại),numeric__Dự phòng chung triệu đồng(trình bày lại),numeric__Dự phòng cụ thể triệu đồng(trình bày lại),numeric__Tổng cộng triệu đồng(trình bày lại)
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,5.760.739,2.327.122,8.087.861,5760739.0,2327122.0,8087861.0
Dự phòng rủi ro trích lập trong năm,Dự phòng rủi ro trích lập trong năm,Dự phòng rủi ro trích lập trong năm,792.651,4.159.424,4.952.075,792651.0,4159424.0,4952075.0
Sử dụng dự phòng xử lý rủi ro tín dụng,Sử dụng dự phòng xử lý rủi ro tín dụng,Sử dụng dự phòng xử lý rủi ro tín dụng,-,(229.952),(229.952),,-229952.0,-229952.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,6.553.390,6.256.594,12.809.984,6553390.0,6256594.0,12809984.0
