row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcriệu đồng",Máy móc thiết bịtriệu đồng,Phương tiệnvận tàitriệu đồng,TSCĐ kháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúcriệu đồng",numeric__Máy móc thiết bịtriệu đồng,numeric__Phương tiệnvận tàitriệu đồng,numeric__TSCĐ kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm (trình bày lại),Nguyên giá > Số dư đầu năm (trình bày lại),Số dư đầu năm (trình bày lại),7.127.570,4.968.625,1.311.084,292.120,13.699.399,7127570.0,4968625.0,1311084.0,292120.0,13699399.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,54.666,147.135,159.116,25.749,386.666,54666.0,147135.0,159116.0,25749.0,386666.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,375.143,51.826,17.098,18.310,462.377,375143.0,51826.0,17098.0,18310.0,462377.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(1.141),-,1.141,-,,-1141.0,,1141.0,
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(26.068),(35.443),(25.391),(3.352),(90.254),-26068.0,-35443.0,-25391.0,-3352.0,-90254.0
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,(9.834),124.906,3.873,838,119.783,-9834.0,124906.0,3873.0,838.0,119783.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,7.521.477,5.255.908,1.465.780,334.806,14.577.971,7521477.0,5255908.0,1465780.0,334806.0,14577971.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm (trình bày lại),Giá trị hao mòn luỹ kế > Số dư đầu năm (trình bày lại),Số dư đầu năm (trình bày lại),1.981.480,4.474.706,931.154,222.053,7.609.393,1981480.0,4474706.0,931154.0,222053.0,7609393.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,271.371,287.453,119.210,47.103,725.137,271371.0,287453.0,119210.0,47103.0,725137.0
Phân loại lại,Giá trị hao mòn luỹ kế > Phân loại lại,Phân loại lại,-,(39),-,39,-,,-39.0,,39.0,
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.235),(33.487),(24.577),(3.148),(65.447),-4235.0,-33487.0,-24577.0,-3148.0,-65447.0
Tăng/(giảm) khác,Giá trị hao mòn luỹ kế > Tăng/(giảm) khác,Tăng/(giảm) khác,132,(7.093),104,956,(5.901),132.0,-7093.0,104.0,956.0,-5901.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,2.248.748,4.721.540,1.025.891,267.003,8.263.182,2248748.0,4721540.0,1025891.0,267003.0,8263182.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm (trình bày lại),Giá trị còn lại > Tại ngày đầu năm (trình bày lại),Tại ngày đầu năm (trình bày lại),5.146.090,493.919,379.930,70.067,6.090.006,5146090.0,493919.0,379930.0,70067.0,6090006.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,5.272.729,534.368,439.889,67.803,6.314.789,5272729.0,534368.0,439889.0,67803.0,6314789.0
