row_label_raw,row_label_full,Chỉ tiêu,31/12/2018Trình bày lại(Sau điều chỉnhcủa KTNN),31/12/2018Số đã công bố(Sau kiểm toáncủa kiểm toánđộc lập),Điều chỉnh,numeric__31/12/2018Trình bày lại(Sau điều chỉnhcủa KTNN),numeric__31/12/2018Số đã công bố(Sau kiểm toáncủa kiểm toánđộc lập),numeric__Điều chỉnh
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,843.102.654,843.154.235,(51.581),843102654.0,843154235.0,-51581.0
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(12.809.984),(12.758.403),(51.581),-12809984.0,-12758403.0,-51581.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,10.764.514,10.739.189,25.325,10764514.0,10739189.0,25325.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,6.090.006,6.088.666,1.340,6090006.0,6088666.0,1340.0
- Nguyên giá TSCĐ,- Nguyên giá TSCĐ,- Nguyên giá TSCĐ,13.699.399,13.704.944,(5.545),13699399.0,13704944.0,-5545.0
- Hao mòn TSCĐ,- Hao mòn TSCĐ,- Hao mòn TSCĐ,(7.609.393),(7.616.278),6.885,-7609393.0,-7616278.0,6885.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,4.674.508,4.650.523,23.985,4674508.0,4650523.0,23985.0
- Nguyên giá TSCĐ,- Nguyên giá TSCĐ,- Nguyên giá TSCĐ,6.148.803,6.125.777,23.026,6148803.0,6125777.0,23026.0
- Hao mòn TSCĐ,- Hao mòn TSCĐ,- Hao mòn TSCĐ,(1.474.295),(1.475.254),959,-1474295.0,-1475254.0,959.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,30.187.277,30.318.087,(130.810),30187277.0,30318087.0,-130810.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,20.720.722,20.546.824,173.898,20720722.0,20546824.0,173898.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",6.436.905,6.744.794,(307.889),6436905.0,6744794.0,-307889.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,3.029.808,3.026.627,3.181,3029808.0,3026627.0,3181.0
TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,1.154.647.795,1.154.804.861,(157.066),1154647795.0,1154804861.0,-157066.0
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,41.979.114,41.996.881,(17.767),41979114.0,41996881.0,-17767.0
Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,26.277.251,26.295.018,(17.767),26277251.0,26295018.0,-17767.0
Tổng Nợ phải trả,Tổng Nợ phải trả,Tổng Nợ phải trả,1.089.626.502,1.089.644.269,(17.767),1089626502.0,1089644269.0,-17767.0
Vốn và các quỹ,Vốn và các quỹ,Vốn và các quỹ,65.021.293,65.160.592,(139.299),65021293.0,65160592.0,-139299.0
Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,10.988.525,11.127.824,(139.299),10988525.0,11127824.0,-139299.0
TỔNG Nợ PHẢI TRẢ VÀ VỐNCHỦ SỞ HỮU,TỔNG Nợ PHẢI TRẢ VÀ VỐNCHỦ SỞ HỮU,TỔNG Nợ PHẢI TRẢ VÀ VỐNCHỦ SỞ HỮU,1.154.647.795,1.154.804.861,(157.066),1154647795.0,1154804861.0,-157066.0
