row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Quá hạn_2,Quá hạn_3,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Quá hạn_2,numeric__Quá hạn_3,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5
,,,Không chịu lãi triệu đồng,Trên 3 tháng triệu đồng,Đến 3 tháng triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",8.146.848,,,,,,,,,8.146.848,8146848.0,,,,,,,,,8146848.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,,,,24.855.833,,,,,,24.855.833,,,,24855833.0,,,,,,24855833.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),,,,103.182.157,24.745.857,1.268.000,512.000,,,129.708.014,,,,103182157.0,24745857.0,1268000.0,512000.0,,,129708014.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),,,,2.474.983,,,,,,2.474.983,,,,2474983.0,,,,,,2474983.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,,,,469.712,,,,,,469.712,,,,469712.0,,,,,,469712.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),,10.659.367,5.563.111,375.793.821,256.638.067,209.203.643,56.438.620,9.660.034,1.296.167,925.252.830,,10659367.0,5563111.0,375793821.0,256638067.0,209203643.0,56438620.0,9660034.0,1296167.0,925252830.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),376.615,590.000,,3.524.144,9.067.000,6.560.000,11.945.000,56.279.519,22.881.671,111.223.949,376615.0,590000.0,,3524144.0,9067000.0,6560000.0,11945000.0,56279519.0,22881671.0,111223949.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",5.751.782,,,,,,,,,5.751.782,5751782.0,,,,,,,,,5751782.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,10.793.632,,,,,,,,,10.793.632,10793632.0,,,,,,,,,10793632.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),30.530.670,,,,,,,,,30.530.670,30530670.0,,,,,,,,,30530670.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,55.599.547,11.249.367,5.563.111,510.300.650,290.450.924,217.031.643,68.895.620,65.939.553,24.177.838,1.249.208.253,55599547.0,11249367.0,5563111.0,510300650.0,290450924.0,217031643.0,68895620.0,65939553.0,24177838.0,1249208253.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,,,
Các khoản nợ NHNN,Nợ phải trả > Các khoản nợ NHNN,Các khoản nợ NHNN,,,,41.858.341,27.015.097,637.176,1.092.279,,,70.602.893,,,,41858341.0,27015097.0,637176.0,1092279.0,,,70602893.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,,,,78.854.771,20.472.252,5.996.082,1.435.670,40.625,,106.799.400,,,,78854771.0,20472252.0,5996082.0,1435670.0,40625.0,,106799400.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,,381.143.561,177.027.098,156.949.271,164.298.229,10.270.793,103.762,889.792.714,,,,381143561.0,177027098.0,156949271.0,164298229.0,10270793.0,103762.0,889792714.0
