row_label_raw,row_label_full,col_0,Số dưđầu nàmtriệu đồng(trình bày lại),Phát sinh trong năm,Phát sinh trong năm_1,Số dưcuối nàmtriệu đồng,numeric__Số dưđầu nàmtriệu đồng(trình bày lại),numeric__Phát sinh trong năm,numeric__Phát sinh trong năm_1,numeric__Số dưcuối nàmtriệu đồng
,,,Số dưđầu nàmtriệu đồng(trình bày lại),Số phải nộptriệu đồng,Số đã nộptriệu đồng,Số dưcuối nàmtriệu đồng,,,,
Thuế GTGT,Thuế GTGT,Thuế GTGT,20.977,394.193,402.183,12.987,20977.0,394193.0,402183.0,12987.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,(210.660),2.179.957,1.360.313,608.984,-210660.0,2179957.0,1360313.0,608984.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,118.529,668.672,662.336,124.865,118529.0,668672.0,662336.0,124865.0
,,,(71.154),3.242.822,2.424.832,746.836,-71154.0,3242822.0,2424832.0,746836.0
