row_label_raw,row_label_full,col_0,2019 triệu đồng,2018 triệu đồng(trình bày lại),numeric__2019 triệu đồng,numeric__2018 triệu đồng(trình bày lại)
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,1.997.334,2.749.980,1997334.0,2749980.0
Thu từ nợ xấu đã được xử lý,Thu từ nợ xấu đã được xử lý,Thu từ nợ xấu đã được xử lý,1.304.723,1.944.503,1304723.0,1944503.0
Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,408.870,541.505,408870.0,541505.0
"Thu từ chuyển nhượng, thanh lý tài sản","Thu từ chuyển nhượng, thanh lý tài sản","Thu từ chuyển nhượng, thanh lý tài sản",137.844,6.066,137844.0,6066.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,145.897,257.906,145897.0,257906.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,(801.557),(967.149),-801557.0,-967149.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(377.461),(449.114),-377461.0,-449114.0
"Chi phí từ chuyển nhượng, thanh lý tài sản","Chi phí từ chuyển nhượng, thanh lý tài sản","Chi phí từ chuyển nhượng, thanh lý tài sản",(1.818),(5.037),-1818.0,-5037.0
Chi phí khác,Chi phí khác,Chi phí khác,(422.278),(512.998),-422278.0,-512998.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,1.195.777,1.782.831,1195777.0,1782831.0
