row_label_raw,row_label_full,col_0,Chi phí đất trả trước VND,"Công cụ, dụng cụ và chi phí trả trước dài hạn khác VND",Tổng cộng VND,numeric__Chi phí đất trả trước VND,"numeric__Công cụ, dụng cụ và chi phí trả trước dài hạn khác VND",numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,521.405.162.230,35.713.802.342,557.118.964.572,521405162230.0,35713802342.0,557118964572.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,7.958.697.092,7.958.697.092,,7958697092.0,7958697092.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(16.334.423.680),(26.026.389.721),(42.360.813.401),-16334423680.0,-26026389721.0,-42360813401.0
Thanh lý,Thanh lý,Thanh lý,-,(1.357.900.663),(1.357.900.663),,-1357900663.0,-1357900663.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,505.070.738.550,16.288.209.050,521.358.947.600,505070738550.0,16288209050.0,521358947600.0
