row_label_raw,row_label_full,col_0,Công ty Cổ phần Logistics Căng Đà Nẵng VND,Công ty Cổ phần Căng dịch vụ Dầu khí Đình Vũ VND,Công ty TNHH Tuyến Container T.S Hà Nội VND,Tổng cộng VND,numeric__Công ty Cổ phần Logistics Căng Đà Nẵng VND,numeric__Công ty Cổ phần Căng dịch vụ Dầu khí Đình Vũ VND,numeric__Công ty TNHH Tuyến Container T.S Hà Nội VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,16.236.601.999,97.261.258.435,3.827.137.455,117.324.997.889,16236601999.0,97261258435.0,3827137455.0,117324997889.0
Lãi từ công ty liên kết,Lãi từ công ty liên kết,Lãi từ công ty liên kết,1.998.000.000,161.250.000,-,2.159.250.000,1998000000.0,161250000.0,,2159250000.0
Cổ tức,Cổ tức,Cổ tức,(1.998.000.000),-,-,(1.998.000.000),-1998000000.0,,,-1998000000.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,16.236.601.999,97.422.508.435,3.827.137.455,117.486.247.889,16236601999.0,97422508435.0,3827137455.0,117486247889.0
