row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,501.123.040.000,36.047.891.246,724.734.652.533,382.190.432.010,300.473.561.232,1.944.569.577.021,501123040000.0,36047891246.0,724734652533.0,382190432010.0,300473561232.0,1944569577021.0
Góp vốn,Góp vốn,Góp vốn,-,-,-,-,891.000.000,891.000.000,,,,,891000000.0,891000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,233.977.657.154,51.817.612.210,285.795.269.364,,,,233977657154.0,51817612210.0,285795269364.0
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,40.800.500.100,(40.800.500.100),-,-,,,40800500100.0,-40800500100.0,,
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,,,,,,,,,,,,
khen thưởng và phúc lợi,Trích lập quỹ > khen thưởng và phúc lợi,khen thưởng và phúc lợi,-,-,-,(25.000.000.000),-,(25.000.000.000),,,,-25000000000.0,,-25000000000.0
Cổ tức,Trích lập quỹ > Cổ tức,Cổ tức,50.104.940.000,-,-,(169.371.634.400),(14.261.000.000),(133.527.694.400),50104940000.0,,,-169371634400.0,-14261000000.0,-133527694400.0
Thường Hội đồng Quản trị và Ban Kiểm soát,Trích lập quỹ > Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(2.650.000.000),-,(2.650.000.000),,,,-2650000000.0,,-2650000000.0
Số dư tại ngày 1/1/2020,Trích lập quỹ > Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,551.227.980.000,36.047.891.246,765.535.152.633,378.345.954.664,338.921.173.442,2.070.078.151.985,551227980000.0,36047891246.0,765535152633.0,378345954664.0,338921173442.0,2070078151985.0
Lợi nhuận thuần trong năm,Trích lập quỹ > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,239.706.451.474,56.697.988.875,296.404.440.349,,,,239706451474.0,56697988875.0,296404440349.0
Trích lập quỹ đầu tư phát triển,Trích lập quỹ > Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,31.086.410.523,(31.086.410.523),-,-,,,31086410523.0,-31086410523.0,,
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,,,,,,,,,,,,
khen thưởng và phúc lợi,Trích lập quỹ > khen thưởng và phúc lợi,khen thưởng và phúc lợi,-,-,-,(23.000.000.000),-,(23.000.000.000),,,,-23000000000.0,,-23000000000.0
Cổ tức (Thuyết minh 21),Trích lập quỹ > Cổ tức (Thuyết minh 21),Cổ tức (Thuyết minh 21),-,-,-,(148.831.554.600),(21.652.825.000),(170.484.379.600),,,,-148831554600.0,-21652825000.0,-170484379600.0
Thường Hội đồng Quản trị và Ban Kiểm soát,Trích lập quỹ > Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(2.300.000.000),-,(2.300.000.000),,,,-2300000000.0,,-2300000000.0
Số dư tại ngày 31/12/2020,Trích lập quỹ > Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,551.227.980.000,36.047.891.246,796.621.563.156,412.834.441.015,373.966.337.317,2.170.698.212.734,551227980000.0,36047891246.0,796621563156.0,412834441015.0,373966337317.0,2170698212734.0
