row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,803.937.226.701,91.258.324.709,1.283.691.777.564,28.041.024.655,2.206.928.353.629,803937226701.0,91258324709.0,1283691777564.0,28041024655.0,2206928353629.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,458.528.000,11.063.088.299,847.310.000,12.368.926.299,,458528000.0,11063088299.0,847310000.0,12368926299.0
Chuyên từ xây dựng cơ bản dở dang,Nguyên giá > Chuyên từ xây dựng cơ bản dở dang,Chuyên từ xây dựng cơ bản dở dang,8.546.151.190,43.846.150,33.355.188.779,139.312.000,42.084.498.119,8546151190.0,43846150.0,33355188779.0,139312000.0,42084498119.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(14.244.015.590),-,(14.244.015.590),,,-14244015590.0,,-14244015590.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,11.929.554.966,(1.475.547.273),1.429.407.273,(11.883.414.966),-,11929554966.0,-1475547273.0,1429407273.0,-11883414966.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,824.412.932.857,90.285.151.586,1.315.295.446.325,17.144.231.689,2.247.137.762.457,824412932857.0,90285151586.0,1315295446325.0,17144231689.0,2247137762457.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,362.539.698.136,46.304.871.432,710.171.756.437,14.483.686.648,1.133.500.012.653,362539698136.0,46304871432.0,710171756437.0,14483686648.0,1133500012653.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,55.373.122.115,11.791.743.148,145.382.183.771,1.127.460.757,213.674.509.791,55373122115.0,11791743148.0,145382183771.0,1127460757.0,213674509791.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(14.244.015.590),-,(14.244.015.590),,,-14244015590.0,,-14244015590.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,841.311.754,(139.621.680),458.998.558,(1.160.688.632),-,841311754.0,-139621680.0,458998558.0,-1160688632.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,418.754.132.005,57.956.992.900,841.768.923.176,14.450.458.773,1.332.930.506.854,418754132005.0,57956992900.0,841768923176.0,14450458773.0,1332930506854.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,441.397.528.565,44.953.453.277,573.520.021.127,13.557.338.007,1.073.428.340.976,441397528565.0,44953453277.0,573520021127.0,13557338007.0,1073428340976.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,405.658.800.852,32.328.158.686,473.526.523.149,2.693.772.916,914.207.255.603,405658800852.0,32328158686.0,473526523149.0,2693772916.0,914207255603.0
