row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2020VND,1/1/2020VND,,
Người bán là các bên liên quan,Người bán là các bên liên quan,Người bán là các bên liên quan,Người bán là các bên liên quan,Người bán là các bên liên quan,,
Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,Người bán là các bên liên quan > Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,30.077.569.570,16.566.155.641,30077569570.0,16566155641.0
Công ty Cổ phần Logistics Cảng Đà Nẵng,Người bán là các bên liên quan > Công ty Cổ phần Logistics Cảng Đà Nẵng,Công ty Cổ phần Logistics Cảng Đà Nẵng,24.605.000,99.584.320,24605000.0,99584320.0
Người bán là các bên thứ ba,Người bán là các bên thứ ba,Người bán là các bên thứ ba,Người bán là các bên thứ ba,Người bán là các bên thứ ba,,
Công ty TNHH Thương mại và Dịch vụ Dầu khí Anh Thúy,Người bán là các bên thứ ba > Công ty TNHH Thương mại và Dịch vụ Dầu khí Anh Thúy,Công ty TNHH Thương mại và Dịch vụ Dầu khí Anh Thúy,3.180.937.513,3.518.043.267,3180937513.0,3518043267.0
Công ty Cổ phần Xăng dầu Dầu khí PVOIL Hải Phòng,Người bán là các bên thứ ba > Công ty Cổ phần Xăng dầu Dầu khí PVOIL Hải Phòng,Công ty Cổ phần Xăng dầu Dầu khí PVOIL Hải Phòng,2.312.140.100,3.766.984.821,2312140100.0,3766984821.0
Công ty Cổ phần Cảng Đà Nẵng,Người bán là các bên thứ ba > Công ty Cổ phần Cảng Đà Nẵng,Công ty Cổ phần Cảng Đà Nẵng,1.994.996.907,1.854.728.970,1994996907.0,1854728970.0
Công ty Cổ phần Dịch vụ Vận tải và Kho vận Hồng Quân,Người bán là các bên thứ ba > Công ty Cổ phần Dịch vụ Vận tải và Kho vận Hồng Quân,Công ty Cổ phần Dịch vụ Vận tải và Kho vận Hồng Quân,-,2.574.665.720,,2574665720.0
Công ty TNHH Xây dựng và Trang trí Nội thất Thăng Long,Người bán là các bên thứ ba > Công ty TNHH Xây dựng và Trang trí Nội thất Thăng Long,Công ty TNHH Xây dựng và Trang trí Nội thất Thăng Long,-,498.300.000,,498300000.0
Công ty TNHH Quốc tế B2B,Người bán là các bên thứ ba > Công ty TNHH Quốc tế B2B,Công ty TNHH Quốc tế B2B,-,21.835.000,,21835000.0
Các nhà cung cấp khác,Người bán là các bên thứ ba > Các nhà cung cấp khác,Các nhà cung cấp khác,67.237.761.561,58.008.635.522,67237761561.0,58008635522.0
,,,104.828.010.651,86.908.933.261,104828010651.0,86908933261.0
