row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,,,,
01/01/2024,01/01/2024,01/01/2024,4.495.371.120.000,544.743.759.363,626.842.508.943,5.666.957.388.306,4495371120000.0,544743759363.0,626842508943.0,5666957388306.0
- Lãi trong năm trước,- Lãi trong năm trước,- Lãi trong năm trước,-,-,484.156.819.388,484.156.819.388,,,484156819388.0,484156819388.0
- Phân phối lợi nhuận,- Phân phối lợi nhuận,- Phân phối lợi nhuận,-,118.896.824.304,(575.790.836.304),(456.894.012.000),,118896824304.0,-575790836304.0,-456894012000.0
+ Trích quỹ đầu tư phát triển,+ Trích quỹ đầu tư phát triển,+ Trích quỹ đầu tư phát triển,-,118.896.824.304,(118.896.824.304),-,,118896824304.0,-118896824304.0,
+ Trích quỹ khen thưởng phúc lợi,+ Trích quỹ khen thưởng phúc lợi,+ Trích quỹ khen thưởng phúc lợi,-,-,(7.356.900.000),(7.356.900.000),,,-7356900000.0,-7356900000.0
+ Chia cổ tức,+ Chia cổ tức,+ Chia cổ tức,-,-,(449.537.112.000),(449.537.112.000),,,-449537112000.0,-449537112000.0
31/12/2024,31/12/2024,31/12/2024,4.495.371.120.000,663.640.583.667,535.208.492.027,5.694.220.195.694,4495371120000.0,663640583667.0,535208492027.0,5694220195694.0
01/01/2025,01/01/2025,01/01/2025,4.495.371.120.000,663.640.583.667,535.208.492.027,5.694.220.195.694,4495371120000.0,663640583667.0,535208492027.0,5694220195694.0
- Lãi trong năm nay,- Lãi trong năm nay,- Lãi trong năm nay,-,-,661.745.908.696,661.745.908.696,,,661745908696.0,661745908696.0
- Phân phối lợi nhuận (*),- Phân phối lợi nhuận (*),- Phân phối lợi nhuận (*),-,68.000.000.000,(529.131.154.000),(461.131.154.000),,68000000000.0,-529131154000.0,-461131154000.0
+ Trích quỹ đầu tư phát triển,+ Trích quỹ đầu tư phát triển,+ Trích quỹ đầu tư phát triển,-,68.000.000.000,(68.000.000.000),-,,68000000000.0,-68000000000.0,
+ Trích quỹ khen thưởng phúc lợi,+ Trích quỹ khen thưởng phúc lợi,+ Trích quỹ khen thưởng phúc lợi,-,-,(11.594.042.000),(11.594.042.000),,,-11594042000.0,-11594042000.0
+ Chia cổ tức,+ Chia cổ tức,+ Chia cổ tức,-,-,(449.537.112.000),(449.537.112.000),,,-449537112000.0,-449537112000.0
31/12/2025,31/12/2025,31/12/2025,4.495.371.120.000,731.640.583.667,667.823.246.722,5.894.834.950.389,4495371120000.0,731640583667.0,667823246722.0,5894834950389.0
