row_label_raw,row_label_full,THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp),THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_1,THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_2,THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_3,THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_4,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_1,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_2,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_3,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_4
KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,Lĩnh vực xây lắpVND,Lĩnh vực thủy điệnVND,KhácVND,Tổng cộngVND,,,,
Năm 2025,Năm 2025,Năm 2025,,,,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Năm 2025 > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,45.493.619.260,353.920.634.568,122.461.976.174,521.876.230.002,45493619260.0,353920634568.0,122461976174.0,521876230002.0
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Năm 2025 > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,45.493.619.260,353.920.634.568,122.461.976.174,521.876.230.002,45493619260.0,353920634568.0,122461976174.0,521876230002.0
Kết quả kinh doanh theo bộ phận,Năm 2025 > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,16.062.546.412,-,55.908.437.496,71.970.983.908,16062546412.0,,55908437496.0,71970983908.0
Các chi phí không phân bổ theo bộ phận,Năm 2025 > Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,68.055.238.974,,,,68055238974.0
Lợi nhuận từ hoạt động kinh doanh,Năm 2025 > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,140.026.222.882,,,,140026222882.0
Doanh thu hoạt động tài chính,Năm 2025 > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,967.954.387.008,,,,967954387008.0
Chi phí tài chính,Năm 2025 > Chi phí tài chính,Chi phí tài chính,,,,(751.394.470.303),,,,-751394470303.0
Thu nhập khác,Năm 2025 > Thu nhập khác,Thu nhập khác,,,,279.085.342.716,,,,279085342716.0
