row_label_raw,row_label_full,Thu nhập của các thành viên quản lý chủ chốt,Thu nhập của các thành viên quản lý chủ chốt_1,Năm 2025VND,Năm 2024VND,numeric__Thu nhập của các thành viên quản lý chủ chốt_1,numeric__Năm 2025VND,numeric__Năm 2024VND
Hội đồng quản trị và ban Tổng giám đốc,Hội đồng quản trị và ban Tổng giám đốc,Hội đồng quản trị và ban Tổng giám đốc,Hội đồng quản trị và ban Tổng giám đốc,3.821.634.765,4.399.639.280,,3821634765.0,4399639280.0
Ông Trần Văn Tuấn,Ông Trần Văn Tuấn,Ông Trần Văn Tuấn,Chủ tịch,1.297.182.897,1.466.367.419,,1297182897.0,1466367419.0
Ông Đăng Quốc Bảo,Ông Đăng Quốc Bảo,Ông Đăng Quốc Bảo,Thành viên,996.812.943,851.533.033,,996812943.0,851533033.0
Ông Nguyễn Anh Tùng,Ông Nguyễn Anh Tùng,Ông Nguyễn Anh Tùng,Thành viên,58.888.887,38.666.668,,58888887.0,38666668.0
Ông Lê Văn Tuấn(Bổ nhiệm ngày 24/05/2024),Ông Lê Văn Tuấn(Bổ nhiệm ngày 24/05/2024),Ông Lê Văn Tuấn(Bổ nhiệm ngày 24/05/2024),Thành viên,71.059.257,81.066.668,,71059257.0,81066668.0
Ông Trần Anh Đức,Ông Trần Anh Đức,Ông Trần Anh Đức,Tổng Giám đốc,1.146.836.751,876.458.232,,1146836751.0,876458232.0
Ông Phạm Đức Thành,Ông Phạm Đức Thành,Ông Phạm Đức Thành,Phó Tổng Giám đốc,250.854.030,509.380.836,,250854030.0,509380836.0
Ông Nguyễn Văn Sơn(Từ nhiệm ngày 19/04/2024),Ông Nguyễn Văn Sơn(Từ nhiệm ngày 19/04/2024),Ông Nguyễn Văn Sơn(Từ nhiệm ngày 19/04/2024),Phó Tổng Giám đốc,-,576.166.424,,,576166424.0
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,1.629.148.392,1.493.611.228,,1629148392.0,1493611228.0
Ông Nguyễn Văn Thắng,Ông Nguyễn Văn Thắng,Ông Nguyễn Văn Thắng,Trường ban,996.812.943,851.533.033,,996812943.0,851533033.0
Ông Hà Tuấn Linh,Ông Hà Tuấn Linh,Ông Hà Tuấn Linh,Thành viên,573.446.562,603.411.527,,573446562.0,603411527.0
Ông Tổng Quang Vinh,Ông Tổng Quang Vinh,Ông Tổng Quang Vinh,Thành viên,58.888.887,38.666.668,,58888887.0,38666668.0
Cộng,Cộng,Cộng,Cộng,5.450.783.157,5.893.250.508,,5450783157.0,5893250508.0
