row_label_raw,row_label_full,Chi tiêu,Mã số,Thuyết minh,Năm 2025 VND,Năm 2024 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025 VND,numeric__Năm 2024 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,23,521.876.230.002,595.967.048.535,1.0,23.0,521876230002.0,595967048535.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,10,,521.876.230.002,595.967.048.535,10.0,,521876230002.0,595967048535.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,24,449.905.246.094,521.240.473.507,11.0,24.0,449905246094.0,521240473507.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,71.970.983.908,74.726.575.028,20.0,,71970983908.0,74726575028.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,25,967.954.387.008,790.984.801.339,21.0,25.0,967954387008.0,790984801339.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,26,751.394.470.303,369.472.487.024,22.0,26.0,751394470303.0,369472487024.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,204.143.953.149,228.220.568.578,23.0,,204143953149.0,228220568578.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,,-,-,25.0,,,
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,28,(68.055.238.974),15.185.304.032,26.0,28.0,-68055238974.0,15185304032.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,,356.586.139.587,481.053.585.311,30.0,,356586139587.0,481053585311.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,27,279.085.342.716,3.529.920.085,31.0,27.0,279085342716.0,3529920085.0
Chi phí khác,Chi phí khác,Chi phí khác,32,,7.993.268,2.667.120,32.0,,7993268.0,2667120.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,40,,279.077.349.448,3.527.252.965,40.0,,279077349448.0,3527252965.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,,635.663.489.035,484.580.838.276,50.0,,635663489035.0,484580838276.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,29,78.293.776.585,19.052.368.666,51.0,29.0,78293776585.0,19052368666.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,30,(104.376.196.246),(18.628.349.778),52.0,30.0,-104376196246.0,-18628349778.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,661.745.908.696,484.156.819.388,60.0,,661745908696.0,484156819388.0
