row_label_raw,row_label_full,THUYẾT MINH BẢO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp),THUYẾT MINH BẢO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_1,THUYẾT MINH BẢO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_2,THUYẾT MINH BẢO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_3,THUYẾT MINH BẢO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_4,numeric__THUYẾT MINH BẢO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_1,numeric__THUYẾT MINH BẢO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_2,numeric__THUYẾT MINH BẢO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_3,numeric__THUYẾT MINH BẢO CÁO TÀI CHÍNH TỔNG HỢP (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính tổng hợp)_4
KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,Lĩnh vực xây lắpVND,Lĩnh vực thủy điệnVND,KhácVND,Tổng cộngVND,,,,
Năm 2024,Năm 2024,Năm 2024,,,,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Năm 2024 > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,133.903.832.782,333.063.431.754,128.999.783.999,595.967.048.535,133903832782.0,333063431754.0,128999783999.0,595967048535.0
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Năm 2024 > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,133.903.832.782,333.063.431.754,128.999.783.999,595.967.048.535,133903832782.0,333063431754.0,128999783999.0,595967048535.0
Kết quả kinh doanh theo bộ phận,Năm 2024 > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,9.865.262.254,-,64.861.312.774,74.726.575.028,9865262254.0,,64861312774.0,74726575028.0
Các chi phí không phân bổ theo bộ phận,Năm 2024 > Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,(15.185.304.032),,,,-15185304032.0
Lợi nhuận từ hoạt động kinh doanh,Năm 2024 > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,59.541.270.996,,,,59541270996.0
Doanh thu hoạt động tài chính,Năm 2024 > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,790.984.801.339,,,,790984801339.0
Chi phí tài chính,Năm 2024 > Chi phí tài chính,Chi phí tài chính,,,,(369.472.487.024),,,,-369472487024.0
Thu nhập khác,Năm 2024 > Thu nhập khác,Thu nhập khác,,,,3.529.920.085,,,,3529920085.0
Chi phí khác,Năm 2024 > Chi phí khác,Chi phí khác,,,,(2.667.120),,,,-2667120.0
Chi phí thuế TNDN hiện hành,Năm 2024 > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,(19.052.368.666),,,,-19052368666.0
Chi phí thuế TNDN hoãn lại,Năm 2024 > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,18.628.349.778,,,,18628349778.0
Lợi nhuận sau thuế TNDN,Năm 2024 > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,484.156.819.388,,,,484156819388.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm 2024 > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,-,-,220.653.637,220.653.637,,,220653637.0,220653637.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Năm 2024 > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,2.214.011.211,-,31.926.801.000,34.140.812.211,2214011211.0,,31926801000.0,34140812211.0
TÀI SẢN,TÀI SẢN,TÀI SẢN,Lĩnh vực xây lắpVND,Lĩnh vực thủy điệnVND,KhácVND,Tổng cộngVND,,,,
Số tại 31/12/2024,Số tại 31/12/2024,Số tại 31/12/2024,,,,,,,,
Tài sản trực tiếp của bộ phận,Số tại 31/12/2024 > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,1.169.752.818.395,69.559.081.310,718.296.773.116,1.957.608.672.821,1169752818395.0,69559081310.0,718296773116.0,1957608672821.0
Các tài sản không phân bổ theo bộ phận,Số tại 31/12/2024 > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,11.173.183.225.784,,,,11173183225784.0
Tổng tài sản,Số tại 31/12/2024 > Tổng tài sản,Tổng tài sản,,,,13.130.791.898.605,,,,13130791898605.0
Nợ phải trả trực tiếp của bộ phận,Số tại 31/12/2024 > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,6.155.189.937.988,745.913.208.813,196.050.958.435,7.097.154.105.236,6155189937988.0,745913208813.0,196050958435.0,7097154105236.0
Nợ phải trả không phân bổ theo bộ phận,Số tại 31/12/2024 > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,339.417.597.675,,,,339417597675.0
Tổng nợ phải trả,Số tại 31/12/2024 > Tổng nợ phải trả,Tổng nợ phải trả,,,,7.436.571.702.911,,,,7436571702911.0
