row_label_raw,row_label_full,col_0,01/01/2025VND,Số phải nộp trong nămVND,Số đã thực nộp trong nămVND,31/12/2025VND,numeric__01/01/2025VND,numeric__Số phải nộp trong nămVND,numeric__Số đã thực nộp trong nămVND,numeric__31/12/2025VND
Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,,,,
- Thuế giá trị gia tăng phải nộp,Thuế và các khoản phải nộp > - Thuế giá trị gia tăng phải nộp,- Thuế giá trị gia tăng phải nộp,-,7.907.737.866,7.534.122.687,373.615.179,,7907737866.0,7534122687.0,373615179.0
- Thuế thu nhập doanh nghiệp,Thuế và các khoản phải nộp > - Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,2.266.842.642,78.293.776.585,10.418.250.230,70.142.368.997,2266842642.0,78293776585.0,10418250230.0,70142368997.0
- Thuế thu nhập cá nhân,Thuế và các khoản phải nộp > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,1.005.998.051,3.933.660.558,4.471.104.941,468.553.668,1005998051.0,3933660558.0,4471104941.0,468553668.0
- Các loại thuế khác,Thuế và các khoản phải nộp > - Các loại thuế khác,- Các loại thuế khác,121.385.634,12.000.000,12.000.000,121.385.634,121385634.0,12000000.0,12000000.0,121385634.0
"- Phí, lệ phí và các khoản phải nộp khác","Thuế và các khoản phải nộp > - Phí, lệ phí và các khoản phải nộp khác","- Phí, lệ phí và các khoản phải nộp khác",8.494.501,-,-,8.494.501,8494501.0,,,8494501.0
Cộng,Thuế và các khoản phải nộp > Cộng,Cộng,3.402.720.828,90.147.175.009,22.435.477.858,71.114.417.979,3402720828.0,90147175009.0,22435477858.0,71114417979.0
,,,01/01/2025VND,Số phải nộp trong nămVND,Số đã thực nộp trong nămVND,31/12/2025VND,,,,
Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,,,,
- Thuế giá trị gia tăng,Thuế và các khoản phải thu > - Thuế giá trị gia tăng,- Thuế giá trị gia tăng,140.873.636,140.873.636,-,-,140873636.0,140873636.0,,
"- Thuế nhà đất, tiền thuê đất","Thuế và các khoản phải thu > - Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất",-,4.345.755.590,7.457.054.477,3.111.298.887,,4345755590.0,7457054477.0,3111298887.0
Cộng,Thuế và các khoản phải thu > Cộng,Cộng,140.873.636,4.486.629.226,7.457.054.477,3.111.298.887,140873636.0,4486629226.0,7457054477.0,3111298887.0
