row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2024Triệu VND,1/1/2024Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024Triệu VND,numeric__1/1/2024Triệu VND
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,,53.569.663,43.763.477,100.0,,53569663.0,43763477.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,6,18.617.866,10.124.515,110.0,6.0,18617866.0,10124515.0
Tiền,Tiền,Tiền,111,,6.064.564,3.290.554,111.0,,6064564.0,3290554.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,12.553.302,6.833.961,112.0,,12553302.0,6833961.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,13,607.993,6.794.791,120.0,13.0,607993.0,6794791.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,121,,-,4.183.054,121.0,,,4183054.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,123,,607.993,2.611.737,123.0,,607993.0,2611737.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,7,21.864.602,11.985.015,130.0,7.0,21864602.0,11985015.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,131,,1.302.889,2.309.810,131.0,,1302889.0,2309810.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,132,,484.488,725.077,132.0,,484488.0,725077.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,,81.150,81.150,135.0,,81150.0,81150.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,,20.067.610,8.898.758,136.0,,20067610.0,8898758.0
Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,137,,(85.092),(34.943),137.0,,-85092.0,-34943.0
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,139,,13.557,5.163,139.0,,13557.0,5163.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,8,10.787.396,13.174.868,140.0,8.0,10787396.0,13174868.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,11.001.795,13.496.602,141.0,,11001795.0,13496602.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,149,,(214.399),(321.734),149.0,,-214399.0,-321734.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,1.691.806,1.684.288,150.0,,1691806.0,1684288.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,,342.284,327.933,151.0,,342284.0,327933.0
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,1.232.869,1.208.789,152.0,,1232869.0,1208789.0
Thuế và các khoản khác phải thu Ngân sách Nhà nước,Thuế và các khoản khác phải thu Ngân sách Nhà nước,Thuế và các khoản khác phải thu Ngân sách Nhà nước,153,,116.653,147.566,153.0,,116653.0,147566.0
