row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Nâng cấp tài sản thuê Triệu VND,Máy móc và thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Thiết bị văn phòng và khác Triệu VND,Tài sản khai khoáng khác Triệu VND,Tổng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Nâng cấp tài sản thuê Triệu VND,numeric__Máy móc và thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Thiết bị văn phòng và khác Triệu VND,numeric__Tài sản khai khoáng khác Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,17.413.517,55.267,29.807.456,170.829,442.173,5.095.927,52.985.169,17413517.0,55267.0,29807456.0,170829.0,442173.0,5095927.0,52985169.0
Tăng trong năm/Điều chỉnh sau quyết toán,Nguyên giá > Tăng trong năm/Điều chỉnh sau quyết toán,Tăng trong năm/Điều chỉnh sau quyết toán,11.289,-,110.513,1.648,28.182,-,151.632,11289.0,,110513.0,1648.0,28182.0,,151632.0
Chuyển từ xây dựng cơ bản đồ dang,Nguyên giá > Chuyển từ xây dựng cơ bản đồ dang,Chuyển từ xây dựng cơ bản đồ dang,614.838,-,1.303.030,11.528,197.230,-,2.126.626,614838.0,,1303030.0,11528.0,197230.0,,2126626.0
Chuyển từ/(sang) chi phí trả trước dài hạn,Nguyên giá > Chuyển từ/(sang) chi phí trả trước dài hạn,Chuyển từ/(sang) chi phí trả trước dài hạn,-,-,(925),-,45,-,(880),,,-925.0,,45.0,,-880.0
Chuyển sang chi phí trả trước ngắn hạn,Nguyên giá > Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,-,-,(124),-,(233),-,(357),,,-124.0,,-233.0,,-357.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,-,65.157,-,-,-,65.157,,,65157.0,,,,65157.0
Thanh lý/Xóa số,Nguyên giá > Thanh lý/Xóa số,Thanh lý/Xóa số,(117.185),(1.067),(235.681),(21.247),(50.483),-,(425.663),-117185.0,-1067.0,-235681.0,-21247.0,-50483.0,,-425663.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,7.426,-,(1.951),(919),(4.556),-,-,7426.0,,-1951.0,-919.0,-4556.0,,
Thanh lý các công ty con,Nguyên giá > Thanh lý các công ty con,Thanh lý các công ty con,(1.639.788),-,(5.516.828),-,-,-,(7.156.616),-1639788.0,,-5516828.0,,,,-7156616.0
Chênh lệch quy đối tiền tệ,Nguyên giá > Chênh lệch quy đối tiền tệ,Chênh lệch quy đối tiền tệ,(61.438),-,(54.105),-,-,-,(115.543),-61438.0,,-54105.0,,,,-115543.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,16.228.659,54.200,25.476.542,161.839,612.358,5.095.927,47.629.525,16228659.0,54200.0,25476542.0,161839.0,612358.0,5095927.0,47629525.0
