row_label_raw,row_label_full,col_0,Sản phẩm tiêu dùngcó thương hiệu,Sản phẩm tiêu dùngcó thương hiệu_1,MEATLife,MEATLife_1,Vật liệu công nghệ cao,Vật liệu công nghệ cao_1,Bán lẻ tiêu dùng,Bán lẻ tiêu dùng_1,Khác,Khác_1,Tổng,Tổng_1,numeric__Sản phẩm tiêu dùngcó thương hiệu,numeric__Sản phẩm tiêu dùngcó thương hiệu_1,numeric__MEATLife,numeric__MEATLife_1,numeric__Vật liệu công nghệ cao,numeric__Vật liệu công nghệ cao_1,numeric__Bán lẻ tiêu dùng,numeric__Bán lẻ tiêu dùng_1,numeric__Khác,numeric__Khác_1,numeric__Tổng,numeric__Tổng_1
,,,31/12/2024Triệu VND,1/1/2024Triệu VND,31/12/2024Triệu VND,1/1/2024Triệu VND,31/12/2024Triệu VND,1/1/2024Triệu VND,31/12/2024Triệu VND,1/1/2024Triệu VND,31/12/2024Triệu VND,1/1/2024Triệu VND,31/12/2024Triệu VND,1/1/2024Triệu VND,,,,,,,,,,,,
Tải sản của bộ phận,Tải sản của bộ phận,Tải sản của bộ phận,24.091.011,37.198.492,8.706.635,9.223.291,26.462.822,39.846.461,18.867.002,21.432.683,40.982.981,33.191.309,119.110.45128.474.267,140.892.2366.491.236,24091011.0,37198492.0,8706635.0,9223291.0,26462822.0,39846461.0,18867002.0,21432683.0,40982981.0,33191309.0,1.1911045128474268e+16,1408922366491236.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,,,,,,,,,,,,,,,,,,,,,
Tổng tài sản,Tải sản không phân bổ > Tổng tài sản,Tổng tài sản,,,,,,,,,,,147.584.718,147.383.472,,,,,,,,,,,147584718.0,147383472.0
Nợ phải trả của bộ phận,Tải sản không phân bổ > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,16.949.748,14.641.011,6.732.496,7.254.785,9.903.938,21.724.716,11.684.685,12.801.432,2.970.496,3.218.018,48.241.363,59.639.962,16949748.0,14641011.0,6732496.0,7254785.0,9903938.0,21724716.0,11684685.0,12801432.0,2970496.0,3218018.0,48241363.0,59639962.0
Nợ phải trả không phân bổ,Tải sản không phân bổ > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,,,,58.590.975,49.506.269,,,,,,,,,,,58590975.0,49506269.0
Tổng nợ phải trả,Tải sản không phân bổ > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,,,,106.832.338,109.146.231,,,,,,,,,,,106832338.0,109146231.0
,,,2024Triệu VND,2023Triệu VND,2024Triệu VND,2023Triệu VND,2024Triệu VND,2023Triệu VND,2024Triệu VND,2023Triệu VND,2024Triệu VND,2023Triệu VND,2024Triệu VND,2023Triệu VND,,,,,,,,,,,,
Chi tiêu vốn,Tải sản không phân bổ > Chi tiêu vốn,Chi tiêu vốn,479.422,589.598,118.678,257.285,536.014,842.029,51.892,249.472,320.290,288.422,1.506.296,2.226.806,479422.0,589598.0,118678.0,257285.0,536014.0,842029.0,51892.0,249472.0,320290.0,288422.0,1506296.0,2226806.0
Chi tiêu vốn khôngphân bổ,Tải sản không phân bổ > Chi tiêu vốn khôngphân bổ,Chi tiêu vốn khôngphân bổ,-,-,-,-,-,-,-,-,1.593.004,1.990,1.593.004,1.990,,,,,,,,,1593004.0,1990.0,1593004.0,1990.0
Chi phí khấu hao,Tải sản không phân bổ > Chi phí khấu hao,Chi phí khấu hao,676.127,633.041,363.717,371.973,1.121.121,1.084.475,319.599,339.347,301.955,269.393,2.782.519,2.698.229,676127.0,633041.0,363717.0,371973.0,1121121.0,1084475.0,319599.0,339347.0,301955.0,269393.0,2782519.0,2698229.0
Chi phí khấu hao khôngphân bổ,Tải sản không phân bổ > Chi phí khấu hao khôngphân bổ,Chi phí khấu hao khôngphân bổ,-,-,-,-,-,-,-,-,22.519,4.506,22.519,4.506,,,,,,,,,22519.0,4506.0,22519.0,4506.0
Chi phí phân bổ,Tải sản không phân bổ > Chi phí phân bổ,Chi phí phân bổ,177.023,217.339,115.860,116.281,538.153,516.096,1.081.760,995.156,571.673,716.458,2.484.469,2.561.330,177023.0,217339.0,115860.0,116281.0,538153.0,516096.0,1081760.0,995156.0,571673.0,716458.0,2484469.0,2561330.0
Chi phí phân bổ khôngphân bổ,Tải sản không phân bổ > Chi phí phân bổ khôngphân bổ,Chi phí phân bổ khôngphân bổ,-,-,-,-,-,-,-,-,14.418,3.420,14.418,3.420,,,,,,,,,14418.0,3420.0,14418.0,3420.0
