row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2024Triệu VND,2023Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2024Triệu VND,numeric__2023Triệu VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
Lợi nhuận kế toán trước thuếĐiều chỉnh cho,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận kế toán trước thuếĐiều chỉnh cho,Lợi nhuận kế toán trước thuếĐiều chỉnh cho,01,,6.024.803,2.562.974,1.0,,6024803.0,2562974.0
Khẩu hao và phân bổ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Khẩu hao và phân bổ,Khẩu hao và phân bổ,02,,4.132.955,4.123.663,2.0,,4132955.0,4123663.0
Lợi thế thương mại âm phát sinh từ hợp nhấtkinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi thế thương mại âm phát sinh từ hợp nhấtkinh doanh,Lợi thế thương mại âm phát sinh từ hợp nhấtkinh doanh,02,,-,(117.107),2.0,,,-117107.0
Các khoản dự phòng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,,1.362.398,407.345,3.0,,1362398.0,407345.0
Lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,Lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,04,,12.608,59.093,4.0,,12608.0,59093.0
Lãi từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,,(7.067.273),(5.870.297),5.0,,-7067273.0,-5870297.0
Chi phí lãi vay và chi phí tài chính khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay và chi phí tài chính khác,Chi phí lãi vay và chi phí tài chính khác,06,,6.911.415,7.422.409,6.0,,6911415.0,7422409.0
Lãi từ hoạt động kinh doanh trước những thay đổivốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ hoạt động kinh doanh trước những thay đổivốn lưu động,Lãi từ hoạt động kinh doanh trước những thay đổivốn lưu động,08,,11.376.906,8.588.080,8.0,,11376906.0,8588080.0
Biến động các khoản phải thu và tài sản khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu và tài sản khác,Biến động các khoản phải thu và tài sản khác,09,,(337.553),452.139,9.0,,-337553.0,452139.0
Biến động hàng tồn kho,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,,(98.554),1.076.401,10.0,,-98554.0,1076401.0
Biến động các khoản phải trả và nợ phải trả khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,,2.143.364,(442.419),11.0,,2143364.0,-442419.0
Biến động chi phí trả trước,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chi phí trả trước,Biến động chi phí trả trước,12,,628.346,426.228,12.0,,628346.0,426228.0
Biến động chứng khoán kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chứng khoán kinh doanh,Biến động chứng khoán kinh doanh,13,,4.183.054,(880.882),13.0,,4183054.0,-880882.0
,,,,,17.895.563,9.219.547,,,17895563.0,9219547.0
Tiền lãi vay và chi phí tài chính khác đã trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay và chi phí tài chính khác đã trả,Tiền lãi vay và chi phí tài chính khác đã trả,14,,(6.961.019),(7.902.879),14.0,,-6961019.0,-7902879.0
Thuế thu nhập doanh nghiệp đã nộp,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(1.408.359),(816.207),15.0,,-1408359.0,-816207.0
Tiền chi khác cho hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(723),-,17.0,,-723.0,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,9.525.462,500.461,20.0,,9525462.0,500461.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
Tiền chi mua tài sản cố định và tài sản dài hạn khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua tài sản cố định và tài sản dài hạn khác,Tiền chi mua tài sản cố định và tài sản dài hạn khác,21,,(3.099.300),(2.228.795),21.0,,-3099300.0,-2228795.0
Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,22,,34.765,17.461,22.0,,34765.0,17461.0
"Tiền chi cho vay, tiền gửi ngân hàng có kỳ hạn và đầu tư khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho vay, tiền gửi ngân hàng có kỳ hạn và đầu tư khác","Tiền chi cho vay, tiền gửi ngân hàng có kỳ hạn và đầu tư khác",23,,(40.732.272),(28.673.709),23.0,,-40732272.0,-28673709.0
"Tiền thu hồi cho vay, tiền gửi ngân hàng có kỳ hạn và đầu tư khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi cho vay, tiền gửi ngân hàng có kỳ hạn và đầu tư khác","Tiền thu hồi cho vay, tiền gửi ngân hàng có kỳ hạn và đầu tư khác",24,,32.404.126,20.544.165,24.0,,32404126.0,20544165.0
"Tiền chi cho các khoản đầu tư vốn chủ sở hữuHợp nhất kinh doanh, đã trừ đi số dư tiền của công ty con được hợp nhất","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho các khoản đầu tư vốn chủ sở hữuHợp nhất kinh doanh, đã trừ đi số dư tiền của công ty con được hợp nhất","Tiền chi cho các khoản đầu tư vốn chủ sở hữuHợp nhất kinh doanh, đã trừ đi số dư tiền của công ty con được hợp nhất",25,,(6.557.257),-,25.0,,-6557257.0,
Tiền thu từ việc thanh lý các công ty con (đã trừ đi số dư tiền của các công ty con được thanh lý) và tiền thu từ thanh lý các khoản đầu tư vốn chủ sở hữu khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ việc thanh lý các công ty con (đã trừ đi số dư tiền của các công ty con được thanh lý) và tiền thu từ thanh lý các khoản đầu tư vốn chủ sở hữu khác,Tiền thu từ việc thanh lý các công ty con (đã trừ đi số dư tiền của các công ty con được thanh lý) và tiền thu từ thanh lý các khoản đầu tư vốn chủ sở hữu khác,25,,-,(11.812),25.0,,,-11812.0
"Tiền thu từ lãi, cổ tức và thu nhập khác từ hoạt động đầu tư","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ lãi, cổ tức và thu nhập khác từ hoạt động đầu tư","Tiền thu từ lãi, cổ tức và thu nhập khác từ hoạt động đầu tư",26,,4.284.306,708.600,26.0,,4284306.0,708600.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,27,,2.972.095,1.820.418,27.0,,2972095.0,1820418.0
,,,,,(10.693.537),(7.823.672),,,-10693537.0,-7823672.0
