row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2024 Triệu VND,2023 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2024 Triệu VND,numeric__2023 Triệu VND
LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
Tiền thu từ phát hành cổ phiếu trừ đi chi phí phát hành liên quan,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ phát hành cổ phiếu trừ đi chi phí phát hành liên quan,Tiền thu từ phát hành cổ phiếu trừ đi chi phí phát hành liên quan,31,,6.411.786,71.136,31.0,,6411786.0,71136.0
"Tiền thu từ đi vay, phát hành trái phiếu và khác","LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ đi vay, phát hành trái phiếu và khác","Tiền thu từ đi vay, phát hành trái phiếu và khác",33,,93.606.481,91.059.079,33.0,,93606481.0,91059079.0
"Tiền trả nợ gốc vay, trái phiếu và khác","LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc vay, trái phiếu và khác","Tiền trả nợ gốc vay, trái phiếu và khác",34,,(88.611.315),(87.324.894),34.0,,-88611315.0,-87324894.0
Tiền trả nợ gốc thuê tài chính,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc thuê tài chính,Tiền trả nợ gốc thuê tài chính,35,,(14.108),(15.289),35.0,,-14108.0,-15289.0
Tiền chỉ trả cổ tức,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền chỉ trả cổ tức,Tiền chỉ trả cổ tức,36,,(1.721.291),(243.821),36.0,,-1721291.0,-243821.0
Lưu chuyển tiền thuần từ hoạt động tài chính,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,9.671.553,3.546.211,40.0,,9671553.0,3546211.0
Lưu chuyển tiền thuần trong năm,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,50,,8.503.478,(3.777.000),50.0,,8503478.0,-3777000.0
Tiền và các khoản tương đương tiền đầu năm,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,,10.124.515,13.853.100,60.0,,10124515.0,13853100.0
Ảnh hưởng của thay đổi tỷ giá hối đoái,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái,Ảnh hưởng của thay đổi tỷ giá hối đoái,61,,(10.127),48.415,61.0,,-10127.0,48415.0
Tiền và các khoản tương đương tiền cuối năm,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền cuối năm,Tiền và các khoản tương đương tiền cuối năm,70,6,18.617.866,10.124.515,70.0,6.0,18617866.0,10124515.0
