row_label_raw,row_label_full,TÀI SẢN (tiếp theo),Mã số,Thuyết minh,31/12/2024Triệu VND,1/1/2024Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024Triệu VND,numeric__1/1/2024Triệu VND
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,,94.015.055,103.619.995,200.0,,94015055.0,103619995.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,7,8.524.390,11.210.955,210.0,7.0,8524390.0,11210955.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,,79.200,-,215.0,,79200.0,
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,,8.445.190,11.210.955,216.0,,8445190.0,11210955.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,37.049.770,42.885.823,220.0,,37049770.0,42885823.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,9,27.121.453,30.468.702,221.0,9.0,27121453.0,30468702.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,47.629.525,52.985.169,222.0,,47629525.0,52985169.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(20.508.072),(22.516.467),223.0,,-20508072.0,-22516467.0
Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,224,,222.742,310.884,224.0,,222742.0,310884.0
Nguyên giá,Nguyên giá,Nguyên giá,225,,345.223,444.649,225.0,,345223.0,444649.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,226,,(122.481),(133.765),226.0,,-122481.0,-133765.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,10,9.705.575,12.106.237,227.0,10.0,9705575.0,12106237.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,13.952.693,16.690.945,228.0,,13952693.0,16690945.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(4.247.118),(4.584.708),229.0,,-4247118.0,-4584708.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,230,11,4.166,708.670,230.0,11.0,4166.0,708670.0
Nguyên giá,Nguyên giá,Nguyên giá,231,,18.628,1.216.349,231.0,,18628.0,1216349.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,232,,(14.462),(507.679),232.0,,-14462.0,-507679.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,1.670.868,3.127.230,240.0,,1670868.0,3127230.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,242,12,1.670.868,3.127.230,242.0,12.0,1670868.0,3127230.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,13,35.318.781,33.219.467,250.0,13.0,35318781.0,33219467.0
Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,252,,33.409.931,30.281.765,252.0,,33409931.0,30281765.0
Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,253,,2.932.523,2.937.702,253.0,,2932523.0,2937702.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,254,,(1.023.673),-,254.0,,-1023673.0,
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,11.447.080,12.467.850,260.0,,11447080.0,12467850.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,14,7.170.989,7.418.042,261.0,14.0,7170989.0,7418042.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,15,687.989,676.669,262.0,15.0,687989.0,676669.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,16,3.588.102,4.373.139,269.0,16.0,3588102.0,4373139.0
TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,270,,147.584.718,147.383.472,270.0,,147584718.0,147383472.0
