row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2024Triệu VND,1/1/2024Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024Triệu VND,numeric__1/1/2024Triệu VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,,106.832.338,109.146.231,300.0,,106832338.0,109146231.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,58.712.175,50.422.500,310.0,,58712175.0,50422500.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,,7.171.217,6.317.999,311.0,,7171217.0,6317999.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,312,,196.922,861.932,312.0,,196922.0,861932.0
Thuế phải nộp Ngân sách Nhà nước,Thuế phải nộp Ngân sách Nhà nước,Thuế phải nộp Ngân sách Nhà nước,313,17,1.017.379,1.103.204,313.0,17.0,1017379.0,1103204.0
Phải trả nhân viên,Phải trả nhân viên,Phải trả nhân viên,314,,251.950,264.300,314.0,,251950.0,264300.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,18(a),4.787.142,4.819.044,315.0,,4787142.0,4819044.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,,23.075,67.059,318.0,,23075.0,67059.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,19(a),18.489.608,8.919.791,319.0,,18489608.0,8919791.0
"Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn","Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn","Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn",320,20,26.724.166,28.030.197,320.0,20.0,26724166.0,28030197.0
Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,321,,19.591,7.826,321.0,,19591.0,7826.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,,31.125,31.148,322.0,,31125.0,31148.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,48.120.163,58.723.731,330.0,,48120163.0,58723731.0
Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,331,,16.166,19.289,331.0,,16166.0,19289.0
Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,333,18(b),102.080,31.186,333.0,,102080.0,31186.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,19(b),6.212.349,8.199.245,337.0,,6212349.0,8199245.0
"Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn",338,21,38.825.185,41.541.894,338.0,21.0,38825185.0,41541894.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,341,15,2.476.497,3.406.398,341.0,15.0,2476497.0,3406398.0
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,342,22,487.886,5.525.719,342.0,22.0,487886.0,5525719.0
