row_label_raw,row_label_full,col_0,Giá trị ghi số Triệu VND,numeric__Giá trị ghi số Triệu VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,373.362,373362.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,934.808,934808.0
Hàng tồn kho – thuần,Hàng tồn kho – thuần,Hàng tồn kho – thuần,2.325.915,2325915.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,166.412,166412.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,132.207,132207.0
Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,2.769.690,2769690.0
Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,2.691.190,2691190.0
Bất động sản đầu tư – thuần,Bất động sản đầu tư – thuần,Bất động sản đầu tư – thuần,630.722,630722.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,250.782,250782.0
"Đầu tư tài chính dài hạn, không bao gồm khoản đầu tư vào Nyobolt","Đầu tư tài chính dài hạn, không bao gồm khoản đầu tư vào Nyobolt","Đầu tư tài chính dài hạn, không bao gồm khoản đầu tư vào Nyobolt",239.674,239674.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,6.731,6731.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(365.520),-365520.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(3.261.181),-3261181.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,(152.420),-152420.0
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,(4.730.223),-4730223.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,(1.140.541),-1140541.0
Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,(271.319),-271319.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,213.176,213176.0
Tài sản thuần có thể xác định được,Tài sản thuần có thể xác định được,Tài sản thuần có thể xác định được,[1] 813.465,
Giá trị ghi số của khoản đầu tư vào Nyobolt,Giá trị ghi số của khoản đầu tư vào Nyobolt,Giá trị ghi số của khoản đầu tư vào Nyobolt,[2] 1.421.243,
Tiền chỉ mua lại khoản đầu tư vào Nyobolt từ HCS,Tiền chỉ mua lại khoản đầu tư vào Nyobolt từ HCS,Tiền chỉ mua lại khoản đầu tư vào Nyobolt từ HCS,[3] (502.326),
Dự phòng đầu tư vào Nyobolt được ghi nhận trong báo cáo tài chính hợp nhất của Tập đoàn (Thuyết minh 13(c)),Dự phòng đầu tư vào Nyobolt được ghi nhận trong báo cáo tài chính hợp nhất của Tập đoàn (Thuyết minh 13(c)),Dự phòng đầu tư vào Nyobolt được ghi nhận trong báo cáo tài chính hợp nhất của Tập đoàn (Thuyết minh 13(c)),[4] = [2] + [3] 918.917,
Điều chỉnh tài sản thuần có thể xác định được,Điều chỉnh tài sản thuần có thể xác định được,Điều chỉnh tài sản thuần có thể xác định được,[5] = [1] + [4] 1.732.382,
Tổng số tiền nhận được trừ đi chi phí giao dịch,Tổng số tiền nhận được trừ đi chi phí giao dịch,Tổng số tiền nhận được trừ đi chi phí giao dịch,[6] 3.135.668,
Lãi từ việc thanh lý HCS sau khi tính đến khoản dự phòng đầu tư vào Nyobolt (Thuyết minh 30),Lãi từ việc thanh lý HCS sau khi tính đến khoản dự phòng đầu tư vào Nyobolt (Thuyết minh 30),Lãi từ việc thanh lý HCS sau khi tính đến khoản dự phòng đầu tư vào Nyobolt (Thuyết minh 30),[7] = [6] - [5] 1.403.286,
Xóa số tài sản thuế thu nhập hoãn lại trên lỗ tính thuế của HCS do mất quyền kiểm soát HCS,Lãi từ việc thanh lý HCS sau khi tính đến khoản dự phòng đầu tư vào Nyobolt (Thuyết minh 30) > Xóa số tài sản thuế thu nhập hoãn lại trên lỗ tính thuế của HCS do mất quyền kiểm soát HCS,Xóa số tài sản thuế thu nhập hoãn lại trên lỗ tính thuế của HCS do mất quyền kiểm soát HCS,(442.502),-442502.0
Lãi thuần từ việc thanh lý HCS,Lãi từ việc thanh lý HCS sau khi tính đến khoản dự phòng đầu tư vào Nyobolt (Thuyết minh 30) > Lãi thuần từ việc thanh lý HCS,Lãi thuần từ việc thanh lý HCS,960.784,960784.0
Tổng số tiền nhận được trừ đi chi phí giao dịch,Lãi từ việc thanh lý HCS sau khi tính đến khoản dự phòng đầu tư vào Nyobolt (Thuyết minh 30) > Tổng số tiền nhận được trừ đi chi phí giao dịch,Tổng số tiền nhận được trừ đi chi phí giao dịch,3.135.668,3135668.0
Tiền và các khoản tương đương tiền của các công ty con đã thanh lý,Lãi từ việc thanh lý HCS sau khi tính đến khoản dự phòng đầu tư vào Nyobolt (Thuyết minh 30) > Tiền và các khoản tương đương tiền của các công ty con đã thanh lý,Tiền và các khoản tương đương tiền của các công ty con đã thanh lý,(373.362),-373362.0
Tiền thuần nhận được,Lãi từ việc thanh lý HCS sau khi tính đến khoản dự phòng đầu tư vào Nyobolt (Thuyết minh 30) > Tiền thuần nhận được,Tiền thuần nhận được,2.762.306,2762306.0
