row_label_raw,row_label_full,col_0,1/1/2024Giá trị ghi sổ/Số có khả năngtrả nợTriệu VND,Biến động trong năm > TăngTriệu VND,Biến động trong năm > Hoàn trảTriệu VND,Biến động trong năm > Đánh giá lạiTriệu VND,Biến động trong năm > Thanh lýcác công ty conTriệu VND,31/12/2024Giá trị ghi sổ/Số có khả năngtrả nợTriệu VND,numeric__1/1/2024Giá trị ghi sổ/Số có khả năngtrả nợTriệu VND,numeric__Biến động trong năm > TăngTriệu VND,numeric__Biến động trong năm > Hoàn trảTriệu VND,numeric__Biến động trong năm > Đánh giá lạiTriệu VND,numeric__Biến động trong năm > Thanh lýcác công ty conTriệu VND,numeric__31/12/2024Giá trị ghi sổ/Số có khả năngtrả nợTriệu VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,19.067.526,52.602.107,(53.307.438),2.430,(365.520),17.999.105,19067526.0,52602107.0,-53307438.0,2430.0,-365520.0,17999105.0
"Vay, trái phiếu phát hành vànợ thuê tài chính dài hạn đếnhạn trả (Thuyết minh 21)","Vay, trái phiếu phát hành vànợ thuê tài chính dài hạn đếnhạn trả (Thuyết minh 21)","Vay, trái phiếu phát hành vànợ thuê tài chính dài hạn đếnhạn trả (Thuyết minh 21)",8.962.671,8.899.956,(9.140.078),2.512,-,8.725.061,8962671.0,8899956.0,-9140078.0,2512.0,,8725061.0
,,,28.030.197,61.502.063,(62.447.516),4.942,(365.520),26.724.166,28030197.0,61502063.0,-62447516.0,4942.0,-365520.0,26724166.0
