row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Nâng cấp tài sản thuê Triệu VND,Máy móc và thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Thiết bị văn phòng và khác Triệu VND,Tài sản khai khoáng khác Triệu VND,Tổng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Nâng cấp tài sản thuê Triệu VND,numeric__Máy móc và thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Thiết bị văn phòng và khác Triệu VND,numeric__Tài sản khai khoáng khác Triệu VND,numeric__Tổng Triệu VND
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,,
Số dư đầu năm,Khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,5.073.370,52.759,15.343.960,80.919,200.275,1.765.184,22.516.467,5073370.0,52759.0,15343960.0,80919.0,200275.0,1765184.0,22516467.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,827.468,1.445,1.701.786,19.913,53.640,111.934,2.716.186,827468.0,1445.0,1701786.0,19913.0,53640.0,111934.0,2716186.0
Chuyển sang chi phí trả trước dài hạn,Khấu hao lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,-,(1.022),-,(1.192),-,(2.214),,,-1022.0,,-1192.0,,-2214.0
Chuyển sang chi phí trả trước ngắn hạn,Khấu hao lũy kế > Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,-,-,(119),-,(3),-,(122),,,-119.0,,-3.0,,-122.0
Thanh lý/Xóa số,Khấu hao lũy kế > Thanh lý/Xóa số,Thanh lý/Xóa số,(64.328),(1.067),(180.944),(17.342),(26.545),-,(290.226),-64328.0,-1067.0,-180944.0,-17342.0,-26545.0,,-290226.0
Phân loại lại,Khấu hao lũy kế > Phân loại lại,Phân loại lại,6.302,-,(33),(612),(5.657),-,-,6302.0,,-33.0,-612.0,-5657.0,,
Thanh lý các công ty con,Khấu hao lũy kế > Thanh lý các công ty con,Thanh lý các công ty con,(578.885),-,(3.808.041),-,-,-,(4.386.926),-578885.0,,-3808041.0,,,,-4386926.0
Chênh lệch quy đổi tiền tệ,Khấu hao lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,(4.821),-,(40.272),-,-,-,(45.093),-4821.0,,-40272.0,,,,-45093.0
Số dư cuối năm,Khấu hao lũy kế > Số dư cuối năm,Số dư cuối năm,5.259.106,53.137,13.015.315,82.878,220.518,1.877.118,20.508.072,5259106.0,53137.0,13015315.0,82878.0,220518.0,1877118.0,20508072.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,12.340.147,2.508,14.463.496,89.910,241.898,3.330.743,30.468.702,12340147.0,2508.0,14463496.0,89910.0,241898.0,3330743.0,30468702.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,10.969.553,1.063,12.461.227,78.961,391.840,3.218.809,27.121.453,10969553.0,1063.0,12461227.0,78961.0,391840.0,3218809.0,27121453.0
