row_label_raw,row_label_full,STT,Tên công ty,Thuyết minh,Hoạt động chính,Tỷ lệ lợi ích tại > 31/12/2024,Tỷ lệ lợi ích tại > 1/1/2024,numeric__Tên công ty,numeric__Thuyết minh,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích tại > 31/12/2024,numeric__Tỷ lệ lợi ích tại > 1/1/2024
9,9,9,"Công ty Cổ phần Hàng tiêu dùng Masan (""MSC"")",(i)/(a),Kinh doanh và phân phối,"67,4%","68,3%",,,,0.674,0.6829999999999999
10,10,10,"Masan Consumer (Thailand) Limited (""MTH"")",(i)/(a),Kinh doanh và phân phối,"67,4%","68,3%",,,,0.674,0.6829999999999999
11,11,11,"Công ty TNHH Một Thành viên Thực phẩm Masan (""MSF"")",(i)/(a),Kinh doanh và phân phối,"67,4%","68,3%",,,,0.674,0.6829999999999999
12,12,12,"Công ty TNHH Một Thành viên Công nghiệp Masan (""MSI"")",(i)/(a),"Sản xuất gia vị, thực phẩm tiện lợi và bao bì","67,4%","68,3%",,,,0.674,0.6829999999999999
13,13,13,"Công ty TNHH Một Thành viên Công nghệ Thực phẩm Việt Tiến (""VTF"")",(i)/(a),Sản xuất gia vị,"67,4%","68,3%",,,,0.674,0.6829999999999999
14,14,14,"Công ty TNHH Một Thành viên Masan HD (""MHD"")",(i)/(a),Sản xuất thực phẩm tiện lợi,"67,4%","68,3%",,,,0.674,0.6829999999999999
15,15,15,"Công ty Cổ phần Masan PQ (""MPQ"")",(i)/(a),Sản xuất gia vị,"67,4%","68,3%",,,,0.674,0.6829999999999999
16,16,16,"Công ty TNHH Một Thành viên Nam Ngư Phú Quốc (""NPQ"")",(i)/(a),Sản xuất gia vị,"67,4%","68,3%",,,,0.674,0.6829999999999999
17,17,17,"Công ty TNHH Masan Long An (""MLA"")",(i)/(a),"Sản xuất gia vị, thực phẩm tiện lợi và bao bì","67,4%","68,3%",,,,0.674,0.6829999999999999
18,18,18,"Công ty TNHH Masan HN (""HNF"")",(i)/(a),Sản xuất thực phẩm tiện lợi,"67,4%","68,3%",,,,0.674,0.6829999999999999
19,19,19,"Công ty Cổ phần VinaCafé Biên Hòa (""VCF"")",(i)/(a),Sản xuất và kinh doanh đồ uống,"66,6%","67,4%",,,,0.6659999999999999,0.674
20,20,20,"Công ty Cổ phần Nước khoáng Vĩnh Hảo (""VHC"")",(i)/(a),Sản xuất và kinh doanh đồ uống và bao bì,"60,3%","61,1%",,,,0.603,0.611
21,21,21,"Công ty Cổ phần Thương mại Dịch vụ và Sản xuất Krôngpha (""KRP"")",(i)/(a),Sản xuất đồ uống,"60,3%","61,6%",,,,0.603,0.616
22,22,22,"Công ty TNHH Một Thành viên Masan Beverage (""MSB"")",(i)/(a),Sản xuất và kinh doanh đồ uống,"67,4%","68,3%",,,,0.674,0.6829999999999999
23,23,23,"Công ty TNHH Một Thành viên Masan MB (""MMB"")",(i)/(a),"Sản xuất gia vị, thực phẩm tiện lợi và bao bì","67,4%","68,3%",,,,0.674,0.6829999999999999
