row_label_raw,row_label_full,STT,Tên công ty,Thuyết minh,Hoạt động chính,Tỷ lệ lợi ích tại > 31/12/2024,Tỷ lệ lợi ích tại > 1/1/2024,numeric__Tên công ty,numeric__Thuyết minh,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích tại > 31/12/2024,numeric__Tỷ lệ lợi ích tại > 1/1/2024
Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,,,,,
1,Công ty con sở hữu trực tiếp > 1,1,"Công ty TNHH The SHERPA (""SHERPA"")",,Tư vấn quản lý đầu tư,"100,0%","100,0%",,,,1.0,1.0
2,Công ty con sở hữu trực tiếp > 2,2,"Công ty TNHH Zenith Investment (""ZENITH"")",,Tư vấn quản lý đầu tư,"100,0%","100,0%",,,,1.0,1.0
Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,,,,,
1,Công ty con sở hữu gián tiếp > 1,1,"Công ty Cổ phần The CrownX (""CrownX"")",(v),Tư vấn quản lý đầu tư,"84,9%","84,9%",,,,0.8490000000000001,0.8490000000000001
2,Công ty con sở hữu gián tiếp > 2,2,"Công ty TNHH MasanConsumerHoldings (""MCH"")",(vi),Tư vấn quản lý đầu tư,"72,8%","72,8%",,,,0.728,0.728
3,Công ty con sở hữu gián tiếp > 3,3,"Công ty TNHH Masan Brewery (""MB"")",(i),Tư vấn quản lý đầu tư,"48,5%","48,5%",,,,0.485,0.485
4,Công ty con sở hữu gián tiếp > 4,4,"Công ty TNHH Masan Master Brewer (""MMBr"")",(i),Kinh doanh bia và nước giải khát,"48,5%","48,5%",,,,0.485,0.485
5,Công ty con sở hữu gián tiếp > 5,5,"Công ty TNHH Một Thành viên Masan Brewery PY (""MBPY"")",(i),Sản xuất bia và nước giải khát,"48,5%","48,5%",,,,0.485,0.485
6,Công ty con sở hữu gián tiếp > 6,6,"Công ty TNHH Một Thành viên Masan Brewery HG (""MBHG"")",(i),Sản xuất bia và nước giải khát,"48,5%","48,5%",,,,0.485,0.485
7,Công ty con sở hữu gián tiếp > 7,7,"Công ty TNHH Một Thành viên Masan Brewery Distribution (""MBD"")",(i),Kinh doanh bia và nước giải khát,"48,5%","48,5%",,,,0.485,0.485
8,Công ty con sở hữu gián tiếp > 8,8,"Công ty TNHH Masan Brewery MB (""MBMB"")",(i),Sản xuất bia và nước giải khát,"48,5%","48,5%",,,,0.485,0.485
