row_label_raw,row_label_full,col_0,TechcombankTriệu VND,CholimexTriệu VND,VissanTriệu VND,JiangwuTriệu VND,TổngTriệu VND,numeric__TechcombankTriệu VND,numeric__CholimexTriệu VND,numeric__VissanTriệu VND,numeric__JiangwuTriệu VND,numeric__TổngTriệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,27.649.293,294.757,2.126.163,211.552,30.281.765,27649293.0,294757.0,2126163.0,211552.0,30281765.0
Phần lợi nhuận phát sinh trong năm của các công ty liên kết,Phần lợi nhuận phát sinh trong năm của các công ty liên kết,Phần lợi nhuận phát sinh trong năm của các công ty liên kết,4.348.387,65.065,-,30.317,4.443.769,4348387.0,65065.0,,30317.0,4443769.0
Cổ tức đã công bố,Cổ tức đã công bố,Cổ tức đã công bố,(1.048.330),(13.296),(12.108),-,(1.073.734),-1048330.0,-13296.0,-12108.0,,-1073734.0
Giảm do thanh lý các công ty con,Giảm do thanh lý các công ty con,Giảm do thanh lý các công ty con,-,-,-,(239.674),(239.674),,,,-239674.0,-239674.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,(2.195),(2.195),,,,-2195.0,-2195.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,30.949.350,346.526,2.114.055,-,33.409.931,30949350.0,346526.0,2114055.0,,33409931.0
