row_label_raw,row_label_full,NGUỒN VỐN (tiếp theo),Mã số,Thuyết minh,31/12/2024 Triệu VND,1/1/2024 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024 Triệu VND,numeric__1/1/2024 Triệu VND
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,,40.752.380,38.237.241,400.0,,40752380.0,38237241.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,23,40.752.380,38.237.241,410.0,23.0,40752380.0,38237241.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,24,15.129.281,14.308.434,411.0,24.0,15129281.0,14308434.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,24,14.164.558,8.723.078,412.0,24.0,14164558.0,8723078.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,26,(8.388.147),(8.388.147),414.0,26.0,-8388147.0,-8388147.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,417,,9.470,(224.222),417.0,,9470.0,-224222.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,,-,342.381,420.0,,,342381.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,9.326.870,11.798.056,421.0,,9326870.0,11798056.0
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,11.798.056,11.381.940,,,11798056.0,11381940.0
- (Lỗ)/Lợi nhuận sau thuế năm nay,- (Lỗ)/Lợi nhuận sau thuế năm nay,- (Lỗ)/Lợi nhuận sau thuế năm nay,421b,,(2.471.186),416.116,,,-2471186.0,416116.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,10.510.348,11.677.661,429.0,,10510348.0,11677661.0
TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,440,,147.584.718,147.383.472,440.0,,147584718.0,147383472.0
