row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
,,,VND,VND,,
Loan principal collection,Loan principal collection,Loan principal collection,"615,000,000,000","1,660,000,000,000",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"360,000,000,000","950,000,000,000",,
Electrical Equipment Joint Stock Company,Electrical Equipment Joint Stock Company,Electrical Equipment Joint Stock Company,"225,000,000,000","310,000,000,000",,
"CFT Vina Copper Co., Ltd","CFT Vina Copper Co., Ltd","CFT Vina Copper Co., Ltd","30,000,000,000","400,000,000,000",,
Loan principal repayments,Loan principal repayments,Loan principal repayments,"490,000,000,000","1,150,000,000,000",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"210,000,000,000","760,000,000,000",,
EMIC Electrical Measuring Instrument Joint Stock Company,EMIC Electrical Measuring Instrument Joint Stock Company,EMIC Electrical Measuring Instrument Joint Stock Company,"180,000,000,000","250,000,000,000",,
Hanoi Electromechanical Manufacturing Joint Stock Company,Hanoi Electromechanical Manufacturing Joint Stock Company,Hanoi Electromechanical Manufacturing Joint Stock Company,"80,000,000,000","80,000,000,000",,
"GELEX Power Generation Co., Ltd.","GELEX Power Generation Co., Ltd.","GELEX Power Generation Co., Ltd.","20,000,000,000","30,000,000,000",,
Phu Thanh My Joint Stock Company,Phu Thanh My Joint Stock Company,Phu Thanh My Joint Stock Company,-,"20,000,000,000",,
Electrical Equipment Joint Stock Company,Electrical Equipment Joint Stock Company,Electrical Equipment Joint Stock Company,-,"10,000,000,000",,
Loan interest income,Loan interest income,Loan interest income,"20,016,027,394","41,087,671,233",,
Electrical Equipment Joint Stock Company,Electrical Equipment Joint Stock Company,Electrical Equipment Joint Stock Company,"11,619,178,081","18,692,054,794",,
"CFT Vina Copper Co., Ltd","CFT Vina Copper Co., Ltd","CFT Vina Copper Co., Ltd","5,235,068,491","14,923,561,644",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"3,161,780,822","7,472,054,795",,
Loan interest expense,Loan interest expense,Loan interest expense,"24,611,369,857","54,754,815,071",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"17,644,520,546","35,259,999,999",,
EMIC Electrical Measuring Instrument Joint Stock Company,EMIC Electrical Measuring Instrument Joint Stock Company,EMIC Electrical Measuring Instrument Joint Stock Company,"3,153,972,600","10,257,006,849",,
Hanoi Electromechanical Manufacturing Joint Stock Company,Hanoi Electromechanical Manufacturing Joint Stock Company,Hanoi Electromechanical Manufacturing Joint Stock Company,"3,527,123,286","7,835,616,443",,
"GELEX Power Generation Co., Ltd.","GELEX Power Generation Co., Ltd.","GELEX Power Generation Co., Ltd.","285,753,425","1,199,999,999",,
Electrical Equipment Joint Stock Company,Electrical Equipment Joint Stock Company,Electrical Equipment Joint Stock Company,-,"123,287,671",,
Phu Thanh My Joint Stock Company,Phu Thanh My Joint Stock Company,Phu Thanh My Joint Stock Company,-,"78,904,110",,
Dividends paid,Dividends paid,Dividends paid,"525,741,200,000","527,991,200,000",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"479,991,200,000","479,991,200,000",,
Computer - Communication - Control 3C Incorporation,Computer - Communication - Control 3C Incorporation,Computer - Communication - Control 3C Incorporation,"30,750,000,000","33,000,000,000",,
GVI Joint Stock Company,GVI Joint Stock Company,GVI Joint Stock Company,"15,000,000,000","15,000,000,000",,
Return deposit for material purchase,Return deposit for material purchase,Return deposit for material purchase,-,"200,000,000,000",,
Electrical Equipment Joint Stock Company,Electrical Equipment Joint Stock Company,Electrical Equipment Joint Stock Company,-,"200,000,000,000",,
Interest on deposit for material purchase,Interest on deposit for material purchase,Interest on deposit for material purchase,-,"10,171,232,877",,
Electrical Equipment Joint Stock Company,Electrical Equipment Joint Stock Company,Electrical Equipment Joint Stock Company,-,"10,171,232,877",,
Deposit for share transfer,Deposit for share transfer,Deposit for share transfer,-,"600,000,000,000",,
GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,-,"600,000,000,000",,
Offsetting deposits - receivables from share transfer,Offsetting deposits - receivables from share transfer,Offsetting deposits - receivables from share transfer,-,"600,000,000,000",,
GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,-,"600,000,000,000",,
Collection from transferring shares,Collection from transferring shares,Collection from transferring shares,"416,889,937,471","850,000,000,000",,
GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,"416,889,937,471","850,000,000,000",,
Transfer of capital contribution,Transfer of capital contribution,Transfer of capital contribution,-,"1,270,528,062,534",,
GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,-,"1,270,528,062,534",,
Divestments,Divestments,Divestments,-,"1,143,315,000,000",,
Quang Tri GELEX Energy Company Limited,Quang Tri GELEX Energy Company Limited,Quang Tri GELEX Energy Company Limited,-,"1,143,315,000,000",,
Interest on deferred-payment sales,Interest on deferred-payment sales,Interest on deferred-payment sales,-,"148,170,186",,
"CFT Vina Copper Co., Ltd","CFT Vina Copper Co., Ltd","CFT Vina Copper Co., Ltd",-,"148,170,186",,
