row_label_raw,row_label_full,Tổng Công ty Điện lực Miền Nam TNHH,Số cuối nămVND > 73.561.955.212,Số đầu nămVND > 20.920.707.500,numeric__Số cuối nămVND > 73.561.955.212,numeric__Số đầu nămVND > 20.920.707.500
Tổng Công ty Điện lực Miền Bắc,Tổng Công ty Điện lực Miền Bắc,Tổng Công ty Điện lực Miền Bắc,50.277.963.601,43.112.652.855,50277963601.0,43112652855.0
Công ty Cổ phần Sản xuất Máy biến áp Truyền tải MEE,Công ty Cổ phần Sản xuất Máy biến áp Truyền tải MEE,Công ty Cổ phần Sản xuất Máy biến áp Truyền tải MEE,43.306.065.242,36.230.999.745,43306065242.0,36230999745.0
Công ty Cổ phần Hạ tầng GELEX,Công ty Cổ phần Hạ tầng GELEX,Công ty Cổ phần Hạ tầng GELEX,,420.528.062.534,,420528062534.0
Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,20.481.325.063,14.978.742.932,20481325063.0,14978742932.0
,,,187.627.309.118,535.771.165.566,187627309118.0,535771165566.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn của khách hàng là các bên liên quan(chi tiết trình bày tại Thuyết minh số 28),Trong đó: > Phải thu ngắn hạn của khách hàng là các bên liên quan(chi tiết trình bày tại Thuyết minh số 28),Phải thu ngắn hạn của khách hàng là các bên liên quan(chi tiết trình bày tại Thuyết minh số 28),63.159.929.902,471.110.344.808,63159929902.0,471110344808.0
