row_label_raw,row_label_full,col_0,col_1,Current year,Prior year,numeric__col_1,numeric__Current year,numeric__Prior year
,,,,VND,VND,,,
Remuneration,Remuneration,Remuneration,Position,"720,000,000","720,000,000",,,
Mr. Nguyen Van Tuan,Mr. Nguyen Van Tuan,Mr. Nguyen Van Tuan,Chairman,"240,000,000","240,000,000",,,
Mr. Do Duy Hung,Mr. Do Duy Hung,Mr. Do Duy Hung,Member,"120,000,000","120,000,000",,,
Mr. Dang Phan Tuong,Mr. Dang Phan Tuong,Mr. Dang Phan Tuong,Member,"120,000,000","120,000,000",,,
Mr. Le Ba Tho,Mr. Le Ba Tho,Mr. Le Ba Tho,Member from 19 April 2023,"120,000,000","80,000,000",,,
Mr. Nguyen Duc Luyen,Mr. Nguyen Duc Luyen,Mr. Nguyen Duc Luyen,Member from 27 March 2024,"90,000,000",-,,,
Mr. Nguyen Trong Trung,Mr. Nguyen Trong Trung,Mr. Nguyen Trong Trung,Member until 27 March 2024,"30,000,000","120,000,000",,,
Mr. Nguyen Trong Tieu,Mr. Nguyen Trong Tieu,Mr. Nguyen Trong Tieu,Member until 19 April 2023,-,"40,000,000",,,
Salaries and other income,Salaries and other income,Salaries and other income,Salaries and other income,"1,240,000,000","2,285,000,000",,,
Mr. Nguyen Van Tuan,Mr. Nguyen Van Tuan,Mr. Nguyen Van Tuan,Chairman,"20,000,000","20,000,000",,,
Mr. Dang Phan Tuong,Mr. Dang Phan Tuong,Mr. Dang Phan Tuong,Member,"860,000,000","1,025,000,000",,,
Mr. Do Duy Hung,Mr. Do Duy Hung,Mr. Do Duy Hung,Member,"320,000,000","620,000,000",,,
Mr. Le Ba Tho,Mr. Le Ba Tho,Mr. Le Ba Tho,Member from 19 April 2023,"20,000,000","20,000,000",,,
Mr. Nguyen Duc Luyen,Mr. Nguyen Duc Luyen,Mr. Nguyen Duc Luyen,Member from 27 March 2024,"20,000,000",-,,,
Mr. Nguyen Trong Tieu,Mr. Nguyen Trong Tieu,Mr. Nguyen Trong Tieu,Member until 19 April 2023,-,"600,000,000",,,
Total,Total,Total,Total,"1,960,000,000","3,005,000,000",,,
