row_label_raw,row_label_full,ASSETS,Codes,Notes,Closing balance,Opening balance,numeric__Codes,numeric__Notes,numeric__Closing balance,numeric__Opening balance
A. CURRENT ASSETS,A. CURRENT ASSETS,A. CURRENT ASSETS,100,,"512,681,504,650","1,447,711,370,879",100.0,,,
I. Cash,I. Cash,I. Cash,110,4,"102,846,824,847","359,308,639,737",110.0,4.0,,
1. Cash,1. Cash,1. Cash,111,,"102,846,824,847","359,308,639,737",111.0,,,
II. Short-term receivables,II. Short-term receivables,II. Short-term receivables,130,,"396,788,917,799","942,714,412,406",130.0,,,
1. Short-term trade receivables,1. Short-term trade receivables,1. Short-term trade receivables,131,5,"187,627,309,118","535,771,165,566",131.0,5.0,,
2. Short-term advances to suppliers,2. Short-term advances to suppliers,2. Short-term advances to suppliers,132,,"37,500,000","635,630,532",132.0,,,
3. Short-term loan receivables,3. Short-term loan receivables,3. Short-term loan receivables,135,6,"200,000,000,000","405,000,000,000",135.0,6.0,,
4. Other short-term receivables,4. Other short-term receivables,4. Other short-term receivables,136,7,"9,751,569,084","1,935,076,711",136.0,7.0,,
5. Provision for short-term doubtful debts,5. Provision for short-term doubtful debts,5. Provision for short-term doubtful debts,137,,"(627,460,403)","(627,460,403)",137.0,,,
III. Inventories,III. Inventories,III. Inventories,140,,-,"130,807,200,558",140.0,,,
1. Inventories,1. Inventories,1. Inventories,141,,-,"130,807,200,558",141.0,,,
IV. Other short-term assets,IV. Other short-term assets,IV. Other short-term assets,150,,"13,045,762,004","14,881,118,178",150.0,,,
1. Short-term prepayments,1. Short-term prepayments,1. Short-term prepayments,151,8,"1,272,095,928","737,172,008",151.0,8.0,,
2. Value added tax deductibles,2. Value added tax deductibles,2. Value added tax deductibles,152,,-,"2,370,280,094",152.0,,,
3. Taxes and other receivables from the State budget,3. Taxes and other receivables from the State budget,3. Taxes and other receivables from the State budget,153,13,"11,773,666,076","11,773,666,076",153.0,13.0,,
B. NON-CURRENT ASSETS,B. NON-CURRENT ASSETS,B. NON-CURRENT ASSETS,200,,"5,808,559,498,753","5,862,556,855,354",200.0,,,
I. Long-term receivables,I. Long-term receivables,I. Long-term receivables,210,,"10,000,000","10,000,000",210.0,,,
1. Other long-term receivables,1. Other long-term receivables,1. Other long-term receivables,216,7,"10,000,000","10,000,000",216.0,7.0,,
II. Fixed assets,II. Fixed assets,II. Fixed assets,220,,"17,020,827,843","12,551,220,454",220.0,,,
1. Tangible fixed assets,1. Tangible fixed assets,1. Tangible fixed assets,221,9,"3,876,820,761","5,585,162,718",221.0,9.0,,
- Cost,- Cost,- Cost,222,,"9,312,451,969","9,312,451,969",222.0,,,
- Accumulated depreciation,- Accumulated depreciation,- Accumulated depreciation,223,,"(5,435,631,208)","(3,727,289,251)",223.0,,,
2. Intangible assets,2. Intangible assets,2. Intangible assets,227,10,"13,144,007,082","6,966,057,736",227.0,10.0,,
- Cost,- Cost,- Cost,228,,"17,644,588,750","9,570,266,170",228.0,,,
- Accumulated amortisation,- Accumulated amortisation,- Accumulated amortisation,229,,"(4,500,581,668)","(2,604,208,434)",229.0,,,
III. Long-term assets in progress,III. Long-term assets in progress,III. Long-term assets in progress,240,,-,"2,222,924,980",240.0,,,
1. Construction in progress,1. Construction in progress,1. Construction in progress,242,,-,"2,222,924,980",242.0,,,
IV. Long-term financial investments,IV. Long-term financial investments,IV. Long-term financial investments,250,11,"5,788,498,116,815","5,840,087,258,502",250.0,11.0,,
1. Investments in subsidiaries,1. Investments in subsidiaries,1. Investments in subsidiaries,251,,"4,707,309,678,727","4,649,937,895,744",251.0,,,
2. Equity investments in other entities,2. Equity investments in other entities,2. Equity investments in other entities,253,,"1,111,361,869,099","1,238,396,869,099",253.0,,,
3. Provision for impairment of long-term financial investments,3. Provision for impairment of long-term financial investments,3. Provision for impairment of long-term financial investments,254,,"(30,173,431,011)","(48,247,506,341)",254.0,,,
V. Other long-term assets,V. Other long-term assets,V. Other long-term assets,260,,"3,030,554,095","7,685,451,418",260.0,,,
1. Long-term prepayments,1. Long-term prepayments,1. Long-term prepayments,261,8,"3,030,554,095","7,685,451,418",261.0,8.0,,
TOTAL ASSETS (270=100+200),TOTAL ASSETS (270=100+200),TOTAL ASSETS (270=100+200),270,,"6,321,241,003,403","7,310,268,226,233",270.0,,,
