row_label_raw,row_label_full,STT,Tên công ty liên kết,Nơi thành lập và hoạt động,Tỷ lệ lợi ích trực tiếp,Tỷ lệ quyền biểu quyết,Hoạt động chính,numeric__Tên công ty liên kết,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích trực tiếp,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động chính
1.,1.,1.,"Công ty TNHH S.A.S - CTAMAD (""SAS"")",Hà Nội,"35,00%","35,00%",Kinh doanh khách sạn và cho thuê văn phòng,,,0.35,0.35,
2.,2.,2.,"Công ty TNHH Chế tạo Điện Hà Nội Cơ HEM (""HEM EMM"")",,"20,00%","20,00%","Sản xuất mô tơ, máy phát, biến thế điện, thiết bị phân phối và điều khiển điện",,,0.2,0.2,
