row_label_raw,row_label_full,Banks,Closing balance,Opening balance,Maturity date,Interest rate,Loan purposes,Collaterals,numeric__Closing balance,numeric__Opening balance,numeric__Maturity date,numeric__Interest rate,numeric__Loan purposes,numeric__Collaterals
,,,VND,VND,,%/year,,,,,,,,
Vietnam Technological and Commercial Joint Stock Bank - Head Office,Vietnam Technological and Commercial Joint Stock Bank - Head Office,Vietnam Technological and Commercial Joint Stock Bank - Head Office,"94,773,804,580",-,The loan term is 120 days. Interest is paid monthly. The last contract expires on 25 January 2025,4.60%,Payment for goods purchased,Unsecured,,,,4.6,,
"HSBC Bank Limited (""HSBC"")","HSBC Bank Limited (""HSBC"")","HSBC Bank Limited (""HSBC"")","70,136,666,233",-,"Loan term 05 months. Interest is paid monthly, calculated for full months from the disbursement date according to each loan contract. The last contract expires on 16 May 2025.",4.20%,Payment for goods purchased,"Mortgage Contract No. VHN 166721/4/MR dated 28 August 2024 between GELEX ELECTRICITY Joint Stock Company and HSBC, mortgaging the right to claim receivables formed by HSBC. Acknowledgement Letter dated 04 September 2024 of GELEX",,,,4.2,,
Standard Chartered Bank (Vietnam) Limited,Standard Chartered Bank (Vietnam) Limited,Standard Chartered Bank (Vietnam) Limited,"27,297,843,573","147,226,960,177",The loan term is 120 days. Interest is paid on the maturity date. The last contract expires on 27 April 2025,4.10%-4.50%,Payment for goods purchased,Loan guarantee contract between GELEX and Standard Chartered Bank (Vietnam) Limited,,,,,,
Bank for Investment and Development of Vietnam - Transaction Office 1,Standard Chartered Bank (Vietnam) Limited > Bank for Investment and Development of Vietnam - Transaction Office 1,Bank for Investment and Development of Vietnam - Transaction Office 1,"10,029,686,579","150,172,776,252",The loan term is 164 days. Interest is paid monthly. The last contract expires on 10 January 2025,3.60%,Payment for goods purchased,Secured by a deposit of 30% of outstanding balance,,,,3.6,,
BNP Paribas Bank - Hanoi Branch,Standard Chartered Bank (Vietnam) Limited > BNP Paribas Bank - Hanoi Branch,BNP Paribas Bank - Hanoi Branch,"6,848,519,652",-,The loan term is 05 months. Interest is paid on the maturity date. The last contract expires on 25 March 2025,4.10%,Payment for goods purchased,Mortgage Contract for receivables dated 27 August 2024 between GELEX ELECTRICITY Joint Stock Company and BNP Paribas Bank - Hanoi Branch,,,,4.1,,
Sinopac Bank - Ho Chi Minh Branch,Sinopac Bank - Ho Chi Minh Branch,Sinopac Bank - Ho Chi Minh Branch,-,"14,606,043,814",,,,,,,,,,
,,,"209,086,520,617","312,005,780,243",,,,,,,,,,
