row_label_raw,row_label_full,Vay bên liên quan(Chi tiết trình bày tại Thuyết minh số 28),Số đầu năm > Giá trị > 50.000.000.000,Số đầu năm > VND > 50.000.000.000,Trong năm > Tăng > -,Trong năm > Giảm > 50.000.000.000,Số cuối năm > Giá trị > -,Số cuối năm > VND > -,numeric__Số đầu năm > Giá trị > 50.000.000.000,numeric__Số đầu năm > VND > 50.000.000.000,numeric__Trong năm > Tăng > -,numeric__Trong năm > Giảm > 50.000.000.000,numeric__Số cuối năm > Giá trị > -,numeric__Số cuối năm > VND > -
Lịch trả nợ các khoản vay dài hạn được trình bày như sau:,Lịch trả nợ các khoản vay dài hạn được trình bày như sau:,Lịch trả nợ các khoản vay dài hạn được trình bày như sau:,Lịch trả nợ các khoản vay dài hạn được trình bày như sau:,Lịch trả nợ các khoản vay dài hạn được trình bày như sau:,Lịch trả nợ các khoản vay dài hạn được trình bày như sau:,Lịch trả nợ các khoản vay dài hạn được trình bày như sau:,Lịch trả nợ các khoản vay dài hạn được trình bày như sau:,Lịch trả nợ các khoản vay dài hạn được trình bày như sau:,,,,,,
,,,,,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,
,,,,,VND,VND,VND,VND,,,,,,
Trong vòng một năm,Lịch trả nợ các khoản vay dài hạn được trình bày như sau: > Trong vòng một năm,Trong vòng một năm,,,-,-,1.096.125.470.514,1.096.125.470.514,,,,,1096125470514.0,1096125470514.0
Trong năm thứ hai,Lịch trả nợ các khoản vay dài hạn được trình bày như sau: > Trong năm thứ hai,Trong năm thứ hai,,,-,-,50.000.000.000,50.000.000.000,,,,,50000000000.0,50000000000.0
,,,,,-,-,1.146.125.470.514,1.146.125.470.514,,,,,1146125470514.0,1146125470514.0
