row_label_raw,row_label_full,col_0,Opening balance,Opening balance_1,In the year,In the year_1,Closing balance,Closing balance_1,numeric__Opening balance,numeric__Opening balance_1,numeric__In the year,numeric__In the year_1,numeric__Closing balance,numeric__Closing balance_1
,,,VND Amount,Amount able to be paid off,Increases,Decreases,Amount,Amount able to be paid off,,,,,,
Short-term loans,Short-term loans,Short-term loans,Short-term loans,Short-term loans,Short-term loans,Short-term loans,Short-term loans,Short-term loans,,,,,,
Loans from banks (i),Loans from banks (i),Loans from banks (i),"312,005,780,243","312,005,780,243","917,737,867,223","1,020,657,126,849","209,086,520,617","209,086,520,617",,,,,,
Short-term loans from related parties (Details stated in Note 28),Short-term loans from related parties (Details stated in Note 28),Short-term loans from related parties (Details stated in Note 28),"70,000,000,000","70,000,000,000","810,000,000,000","440,000,000,000","440,000,000,000","440,000,000,000",,,,,,
,,,"382,005,780,243","382,005,780,243","1,727,737,867,223","1,460,657,126,849","649,086,520,617","649,086,520,617",,,,,,
Current portion of long-term loans,Current portion of long-term loans,Current portion of long-term loans,Current portion of long-term loans,Current portion of long-term loans,Current portion of long-term loans,Current portion of long-term loans,Current portion of long-term loans,Current portion of long-term loans,,,,,,
Current portion of long-term loans from bank,Current portion of long-term loans from bank,Current portion of long-term loans from bank,"1,096,125,470,514","1,096,125,470,514",-,"1,096,125,470,514",-,-,,,,,,
,,,"1,096,125,470,514","1,096,125,470,514",-,"1,096,125,470,514",-,-,,,,,,
,,,"1,478,131,250,757","1,478,131,250,757","1,727,737,867,223","2,556,782,597,363","649,086,520,617","649,086,520,617",,,,,,
