row_label_raw,row_label_full,col_0,Computersoftware,Total,numeric__Computersoftware,numeric__Total
,,,VND,VND,,
COST,COST,COST,COST,COST,,
Opening balance,Opening balance,Opening balance,"9,570,266,170","9,570,266,170",,
Additions,Additions,Additions,"8,074,322,580","8,074,322,580",,
Closing balance,Closing balance,Closing balance,"17,644,588,750","17,644,588,750",,
ACCUMULATED AMORTISATION,ACCUMULATED AMORTISATION,ACCUMULATED AMORTISATION,ACCUMULATED AMORTISATION,ACCUMULATED AMORTISATION,,
Opening balance,Opening balance,Opening balance,"2,604,208,434","2,604,208,434",,
Charge for the year,Charge for the year,Charge for the year,"1,896,373,234","1,896,373,234",,
Closing balance,Closing balance,Closing balance,"4,500,581,668","4,500,581,668",,
NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,,
Opening balance,Opening balance,Opening balance,"6,966,057,736","6,966,057,736",,
Closing balance,Closing balance,Closing balance,"13,144,007,082","13,144,007,082",,
