row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
a. Short-term,a. Short-term,a. Short-term,a. Short-term,a. Short-term,,
Office rentals,Office rentals,Office rentals,"595,990,080",-,,
LC acceptance fee,LC acceptance fee,LC acceptance fee,-,"202,332,166",,
Other short-term prepayments,Other short-term prepayments,Other short-term prepayments,"676,105,848","534,839,842",,
,,,"1,272,095,928","737,172,008",,
b. Long-term,b. Long-term,b. Long-term,b. Long-term,b. Long-term,,
Office furniture,Office furniture,Office furniture,"2,876,738,618","4,639,652,415",,
Tools and supplies issued for consumption,Tools and supplies issued for consumption,Tools and supplies issued for consumption,"45,947,209","75,931,375",,
Capital withdrawal commitment fee,Capital withdrawal commitment fee,Capital withdrawal commitment fee,-,"2,869,820,788",,
Other long-term prepayments,Other long-term prepayments,Other long-term prepayments,"107,868,268","100,046,840",,
,,,"3,030,554,095","7,685,451,418",,
