row_label_raw,row_label_full,col_0,Số đầu năm,Số phải thu trong năm,Số được khấu trừ trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải thu trong năm,numeric__Số được khấu trừ trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,254.361.769,-,-,254.361.769,254361769.0,,,254361769.0
Thuế giá trị gia tăng,a. Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,11.519.304.307,-,-,11.519.304.307,11519304307.0,,,11519304307.0
,,,11.773.666.076,-,-,11.773.666.076,11773666076.0,,,11773666076.0
,,,Số đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số cuối năm,,,,
,,,VND,VND,VND,VND,,,,
b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,,,,
Thuế giá trị gia tăng,b. Các khoản phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,49.902.255.862,49.716.647.916,185.607.946,,49902255862.0,49716647916.0,185607946.0
"Thuế xuất khẩu, nhập khẩu","b. Các khoản phải nộp > Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu",-,79.788.885,79.788.885,-,,79788885.0,79788885.0,
Thuế thu nhập cá nhân,b. Các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,82.432.450,2.082.448.819,2.000.098.202,164.783.067,82432450.0,2082448819.0,2000098202.0,164783067.0
Các loại thuế khác,b. Các khoản phải nộp > Các loại thuế khác,Các loại thuế khác,35.000.000,75.376.518,110.376.518,-,35000000.0,75376518.0,110376518.0,
,,,117.432.450,52.139.870.084,51.906.911.521,350.391.013,117432450.0,52139870084.0,51906911521.0,350391013.0
