row_label_raw,row_label_full,No.,Subsidiaries,Place of incorporation,Proportion ownership interest,Proportion of voting power held,Main business,numeric__Subsidiaries,numeric__Place of incorporation,numeric__Proportion ownership interest,numeric__Proportion of voting power held,numeric__Main business
1.,1.,1.,"Vietnam Electric Cable Corporation (""CADIVI"")",Ho Chi Minh City,97.09%,97.09%,Manufacturing and trading electrical wires and cables,,,97.09,97.09,
2.,2.,2.,"Hanoi Electromechanical Manufacturing Joint Stock Company (""HEM"")",Hanoi,76.70%,76.70%,"Manufacturing, repairing and trading electric motor and electrical equipment",,,76.7,76.7,
3.,3.,3.,"CFT Vina Copper Co., Ltd. (""CFT"")",Dong Nai,100%,100%,Manufacturing copper wires and tin coated copper wires,,,1.0,1.0,
4.,4.,4.,"Electrical Equipment Joint Stock Company (""THIBIDI"")",Dong Nai,98.07%,98.07%,"Manufacturing, repairing and trading electric motor and electrical equipment",,,98.07,98.07,
5.,5.,5.,"EMIC Electrical Measuring Instrument Joint Stock Company (""EMIC"")",Hanoi,74.99%,"74,99%","Manufacturing and trading in electrical measuring instruments including electricity meters, Volt-Ampere meters, current transformers, transformers, electrical cabinets and other products",,,74.99,0.7498999999999999,
6,6,6,"GELEX Power Generation Co., Ltd. (""GELEX Power Generation"")",,100%,100%,"Investment, management of electricity production, transmission and distribution",,,1.0,1.0,
7.,7.,7.,"MEE Power Transformer Manufacturing Joint Stock Company (""MEE"")",Hanoi,66.79%,66.79%,Manufacturing and trading transformers,,,66.79,66.79,
8.,8.,8.,"GELEX Electricity Trading Joint Hanoi Stock Company (""GETC"")",,70.82%,70.82%,Electricity transmission and distribution,,,70.82,70.82,
