row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
Trade payables,Trade payables,Trade payables,"123,026,332,084","63,393,335,671",,
EMIC Electrical Measuring Instrument Joint Stock Company,EMIC Electrical Measuring Instrument Joint Stock Company,EMIC Electrical Measuring Instrument Joint Stock Company,"122,929,420,444","63,393,335,671",,
"S.A.S - CTAMAD Co., Ltd","S.A.S - CTAMAD Co., Ltd","S.A.S - CTAMAD Co., Ltd","96,911,640",-,,
Other short-term payables,Other short-term payables,Other short-term payables,"280,436,010,956","1,135,068,493",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"257,640,120,546",-,,
Computer - Communication - Control 3C Incorporation,Computer - Communication - Control 3C Incorporation,Computer - Communication - Control 3C Incorporation,"15,000,000,000",-,,
GVI Joint Stock Company,GVI Joint Stock Company,GVI Joint Stock Company,"7,500,000,000",-,,
EMIC Electrical Measuring Instrument Joint Stock Company,EMIC Electrical Measuring Instrument Joint Stock Company,EMIC Electrical Measuring Instrument Joint Stock Company,"260,273,972","93,972,603",,
Hanoi Electromechanical Manufacturing Joint Stock Company,Hanoi Electromechanical Manufacturing Joint Stock Company,Hanoi Electromechanical Manufacturing Joint Stock Company,"35,616,438","1,041,095,890",,
Other long - term payables,Other long - term payables,Other long - term payables,"1,972,508,498","2,630,011,334",,
"CFT Vina Copper Co., Ltd","CFT Vina Copper Co., Ltd","CFT Vina Copper Co., Ltd","1,972,508,498","2,630,011,334",,
Short-term loans,Short-term loans,Short-term loans,"440,000,000,000","70,000,000,000",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,"190,000,000,000",-,,
EMIC Electrical Measuring Instrument Joint Stock Company,EMIC Electrical Measuring Instrument Joint Stock Company,EMIC Electrical Measuring Instrument Joint Stock Company,"120,000,000,000","70,000,000,000",,
Hanoi Electromechanical Manufacturing Joint Stock Company,Hanoi Electromechanical Manufacturing Joint Stock Company,Hanoi Electromechanical Manufacturing Joint Stock Company,"130,000,000,000",-,,
Long-term loans,Long-term loans,Long-term loans,-,"50,000,000,000",,
Hanoi Electromechanical Manufacturing Joint Stock Company,Hanoi Electromechanical Manufacturing Joint Stock Company,Hanoi Electromechanical Manufacturing Joint Stock Company,-,"50,000,000,000",,
