row_label_raw,row_label_full,col_0,CHÌ TIÊU,Mã số,Năm nay,Năm trước,numeric__CHÌ TIÊU,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I.,I.,I.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,853.819.559.907,1.254.055.156.581,,1.0,853819559907.0,1254055156581.0
2.,I. > 2.,2.,"Điều chỉnh cho các khoản:Khấu hao tài sản cố địnhCác khoản dự phòngLỗ chênh lệch tỷ giá hồi đoái do đánh giá làicác khoản mục tiên tệ có gốc ngoại tệLãi từ hoạt động đầu tưChi phí lãi vay và chi phí phát hành trái phiếu(Lỗ) từ hoạt động kinh doanh trướcthay đối vốn lưu động(Tăng)/giảm các khoản phải thuGiảm/(tăng) hàng tồn kho(Giảm) các khoản phải trả (Không bao gồm thuế thu nhập doanh nghiệp phải nộp, lãi tiền vayphải trả)Giảm chi phí trả trướcTiền lãi vay đã trảTiền chi khác cho hoạt động kinh doanhLưu chuyển tiền thuần từ hoạt động kinh doanh",02030405060809101112141720,2.541.734.407(18.074.075.330)1.989.160(963.352.039.591)94.644.147.806(30.418.683.641)(75.457.534.117)130.807.200.558(695.619.060.802)4.119.973.403(85.189.051.911)(68.800.000)(751.825.956.510),2.432.363.101(79.838.395.469)6.832.895.984(1.450.095.909.188)171.236.022.854(95.377.866.137)253.143.763.752(130.807.200.558)(290.726.350.979)5.442.278.340(186.611.289.648)(79.300.000)(445.015.965.230),,2.030405060809101e+24,,
II.,II.,II.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
1.,II. > 1.,1.,"Tiền chi mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(4.723.950.000),(6.283.024.230),,21.0,-4723950000.0,-6283024230.0
2.,II. > 2.,2.,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(200.000.000.000),(555.000.000.000),,23.0,-200000000000.0,-555000000000.0
3.,II. > 3.,3.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,405.000.000.000,550.000.000.000,,24.0,405000000000.0,550000000000.0
4.,II. > 4.,4.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,(60.945.868.400),(176.113.677.316),,25.0,-60945868400.0,-176113677316.0
5.,II. > 5.,5.,Tiền thu hồi đầu tư vốn vào đơn vị khác,26,567.169.312.080,849.850.000.000,,26.0,567169312080.0,849850000000.0
6.,II. > 6.,6.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chiaLưu chuyển tiền thuần từ hoạt động đầu tư",2730,967.896.836.1911.674.396.329.871,1.381.875.880.0262.044.329.178.480,,2730.0,9.678968361911675e+24,1.3818758800262044e+25
