row_label_raw,row_label_full,col_0,Owners' contributed capital,Share premium,Investment and development fund,Retained earnings,Total,numeric__Owners' contributed capital,numeric__Share premium,numeric__Investment and development fund,numeric__Retained earnings,numeric__Total
,,,VND,VND,VND,VND,VND,,,,,
Prior year's opening balance,Prior year's opening balance,Prior year's opening balance,"3,000,000,000,000","835,287,500,000","5,000,000,000","424,147,407,961","4,264,434,907,961",,,,,
Profit for the year,Profit for the year,Profit for the year,-,-,-,"1,254,055,156,581","1,254,055,156,581",,,,,
Dividends declared,Dividends declared,Dividends declared,-,-,-,"(600,000,000,000)","(600,000,000,000)",,,,,
Prior year's closing balance,Prior year's closing balance,Prior year's closing balance,"3,000,000,000,000","835,287,500,000","5,000,000,000","1,078,202,564,542","4,918,490,064,542",,,,,
Current year's opening balance,Current year's opening balance,Current year's opening balance,"3,000,000,000,000","835,287,500,000","5,000,000,000","1,078,202,564,542","4,918,490,064,542",,,,,
Profit for the year,Profit for the year,Profit for the year,-,-,-,"853,819,559,907","853,819,559,907",,,,,
Dividends declared (i),Dividends declared (i),Dividends declared (i),-,-,-,"(600,000,000,000)","(600,000,000,000)",,,,,
Current year's closing balance,Current year's closing balance,Current year's closing balance,"3,000,000,000,000","835,287,500,000","5,000,000,000","1,332,022,124,449","5,172,309,624,449",,,,,
