row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
Trade receivables,Trade receivables,Trade receivables,"63,159,929,902","471,110,344,808",,
MEE Power Transformer Manufacturing Joint Stock Company,MEE Power Transformer Manufacturing Joint Stock Company,MEE Power Transformer Manufacturing Joint Stock Company,"43,306,065,242","36,230,999,745",,
EMIC Electrical Measuring Instrument Joint Stock Company,EMIC Electrical Measuring Instrument Joint Stock Company,EMIC Electrical Measuring Instrument Joint Stock Company,"10,387,961,083","689,513,901",,
"HEM Electromechanical Manufacturing Co., Ltd.","HEM Electromechanical Manufacturing Co., Ltd.","HEM Electromechanical Manufacturing Co., Ltd.","8,467,456,695",-,,
Electrical Equipment Joint Stock Company,Electrical Equipment Joint Stock Company,Electrical Equipment Joint Stock Company,"983,072,592","9,069,148,772",,
Vietnam Electric Cable Corporation,Vietnam Electric Cable Corporation,Vietnam Electric Cable Corporation,"15,374,290",-,,
GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,-,"420,528,062,534",,
Hanoi Electromechanical Manufacturing Joint Stock Company,Hanoi Electromechanical Manufacturing Joint Stock Company,Hanoi Electromechanical Manufacturing Joint Stock Company,-,"4,592,619,856",,
Loan receivables,Loan receivables,Loan receivables,"200,000,000,000","405,000,000,000",,
"CFT Vina Copper Co., Ltd","CFT Vina Copper Co., Ltd","CFT Vina Copper Co., Ltd","200,000,000,000","30,000,000,000",,
Electrical Equipment Joint Stock Company,Electrical Equipment Joint Stock Company,Electrical Equipment Joint Stock Company,-,"225,000,000,000",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,-,"150,000,000,000",,
Other short-term receivables,Other short-term receivables,Other short-term receivables,"2,520,547,944","1,654,520,546",,
"CFT Vina Copper Co., Ltd","CFT Vina Copper Co., Ltd","CFT Vina Copper Co., Ltd","2,520,547,944","1,305,205,478",,
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,-,"349,315,068",,
