row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
,,,VND,VND,,
Interest expenses,Interest expenses,Interest expenses,"94,644,147,806","171,236,022,854",,
LC UPAS fees,LC UPAS fees,LC UPAS fees,"7,361,812,339","47,647,269,158",,
Foreign exchange loss,Foreign exchange loss,Foreign exchange loss,"5,642,136,422","26,216,144,325",,
Fees related to the loan,Fees related to the loan,Fees related to the loan,"2,869,820,787","2,869,820,789",,
Deposits interest,Deposits interest,Deposits interest,,"10,171,232,877",,
"Payment discount, late payment interest, fees for accepting payment of documents","Payment discount, late payment interest, fees for accepting payment of documents","Payment discount, late payment interest, fees for accepting payment of documents","202,332,166","3,475,490,266",,
(Reversal)/Addition of provision for impairment of investments,(Reversal)/Addition of provision for impairment of investments,(Reversal)/Addition of provision for impairment of investments,"(18,074,075,330)","(79,838,395,469)",,
Other financial expenses,Other financial expenses,Other financial expenses,"1,484,195,271","405,958,464",,
,,,"94,130,369,461","182,183,543,264",,
