row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
,,,VND,VND,,
Capital contribution,Capital contribution,Capital contribution,"35,190,000,000","74,070,000,000",,
GELEX Electricity Trading Joint Stock Company,GELEX Electricity Trading Joint Stock Company,GELEX Electricity Trading Joint Stock Company,"35,190,000,000","15,045,000,000",,
MEE Power Transformer Manufacturing Joint Stock Company,MEE Power Transformer Manufacturing Joint Stock Company,MEE Power Transformer Manufacturing Joint Stock Company,-,"59,025,000,000",,
"Dividends, profits received","Dividends, profits received","Dividends, profits received","945,860,749,000","1,333,708,068,800",,
Vietnam Electric Cable Corporation,Vietnam Electric Cable Corporation,Vietnam Electric Cable Corporation,"445,083,984,000","776,343,274,000",,
"GELEX Power Generation Co., Ltd.","GELEX Power Generation Co., Ltd.","GELEX Power Generation Co., Ltd.","257,134,000,000","121,308,471,800",,
EMIC Electrical Measuring Instrument Joint Stock Company,EMIC Electrical Measuring Instrument Joint Stock Company,EMIC Electrical Measuring Instrument Joint Stock Company,"112,485,000,000","168,727,500,000",,
Electrical Equipment Joint Stock Company,Electrical Equipment Joint Stock Company,Electrical Equipment Joint Stock Company,"71,787,933,000","46,778,427,000",,
Hanoi Electromechanical Manufacturing Joint Stock Company,Hanoi Electromechanical Manufacturing Joint Stock Company,Hanoi Electromechanical Manufacturing Joint Stock Company,"59,369,832,000","103,897,206,000",,
GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,-,"66,653,190,000",,
"CFT Vina Copper Co., Ltd","CFT Vina Copper Co., Ltd","CFT Vina Copper Co., Ltd",-,"50,000,000,000",,
Reduction of investment value,Reduction of investment value,Reduction of investment value,"(3,638,125,063)",-,,
GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,"(3,638,125,063)",-,,
