row_label_raw,row_label_full,col_0,Closing balance,Closing balance_1,Closing balance_2,Opening balance,Opening balance_1,Opening balance_2,numeric__Closing balance,numeric__Closing balance_1,numeric__Closing balance_2,numeric__Opening balance,numeric__Opening balance_1,numeric__Opening balance_2
,,,Cost,Provision,VND Fair value,Cost,Provision,VND Fair value,,,,,,
Investments in subsidiaries,Investments in subsidiaries,Investments in subsidiaries,"4,707,309,678,727","(30,173,431,011)",-,"4,649,937,895,744","(33,615,002,786)",-,,,,,,
Vietnam Electric Cable Corporation (i),Vietnam Electric Cable Corporation (i),Vietnam Electric Cable Corporation (i),"1,638,256,526,670",-,(i),"1,613,825,662,937",-,"3,781,900,806,200",,,,,,
Electrical Equipment Joint Stock Company (i),Electrical Equipment Joint Stock Company (i),Electrical Equipment Joint Stock Company (i),"985,139,460,770",-,(i),"987,388,541,520",-,(i),,,,,,
Hanoi Electromechanical Manufacturing Joint Stock Company (ii),Hanoi Electromechanical Manufacturing Joint Stock Company (ii),Hanoi Electromechanical Manufacturing Joint Stock Company (ii),"332,061,707,611",-,(i),"332,061,707,611",-,"540,265,471,200",,,,,,
EMIC Electrical Measuring Instrument Joint Stock Company,EMIC Electrical Measuring Instrument Joint Stock Company,EMIC Electrical Measuring Instrument Joint Stock Company,"112,485,000,000",-,(i),"112,485,000,000",-,(i),,,,,,
CFT Vina Copper Company Limited,CFT Vina Copper Company Limited,CFT Vina Copper Company Limited,"355,644,952,503",-,(i),"355,644,952,503",-,(i),,,,,,
"GELEX Power Generation Co., Ltd","GELEX Power Generation Co., Ltd","GELEX Power Generation Co., Ltd","882,715,444,864",-,(i),"882,715,444,864",-,(i),,,,,,
MEE Power Transformer Manufacturing Joint Stock Company,MEE Power Transformer Manufacturing Joint Stock Company,MEE Power Transformer Manufacturing Joint Stock Company,"345,671,586,309","(16,413,502,370)",(i),"345,671,586,309","(29,891,037,733)",(i),,,,,,
GELEX Electricity Trading Joint Stock Company,GELEX Electricity Trading Joint Stock Company,GELEX Electricity Trading Joint Stock Company,"55,335,000,000","(13,759,928,641)",(i),"20,145,000,000","(3,723,965,053)",(i),,,,,,
Equity investments in other entities,Equity investments in other entities,Equity investments in other entities,"1,111,361,869,099",-,-,"1,238,396,869,099","(14,632,503,555)",-,,,,,,
GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,"1,111,361,869,099",-,(i),"1,111,361,869,099",-,(i),,,,,,
GELEX Quang Tri Energy Company Limited,GELEX Quang Tri Energy Company Limited,GELEX Quang Tri Energy Company Limited,-,-,(i),"127,035,000,000","(14,632,503,555)",(i),,,,,,
,,,"5,818,671,547,826","(30,173,431,011)",-,"5,888,334,764,843","(48,247,506,341)",-,,,,,,
