row_label_raw,row_label_full,Ông Nguyễn Trọng Trung,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Phạm Tuấn Anh,Ông Phạm Tuấn Anh,Ông Phạm Tuấn Anh,Phó Tổng Giám đốc,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,
Ông Đào Việt Đình,Ông Đào Việt Đình,Ông Đào Việt Đình,Trường Ban Kiểm soát,
Ông Nguyễn Hoàng Việt,Ông Nguyễn Hoàng Việt,Ông Nguyễn Hoàng Việt,Thành viên Ban Kiểm soát,
Bà Bùi Thị Trang,Bà Bùi Thị Trang,Bà Bùi Thị Trang,Thành viên Ban Kiểm soát,
