row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
,,,VND,VND,,
Selling expenses incurred in the year,Selling expenses incurred in the year,Selling expenses incurred in the year,Selling expenses incurred in the year,Selling expenses incurred in the year,,
Labour,Labour,Labour,"1,895,686,341","1,886,712,784",,
Out-sourced services,Out-sourced services,Out-sourced services,"2,309,732,278","3,909,273,465",,
Other expenses,Other expenses,Other expenses,"626,422,685","1,328,180,468",,
,,,"4,831,841,304","7,124,166,717",,
General and administration expenses incurred in the year,General and administration expenses incurred in the year,General and administration expenses incurred in the year,General and administration expenses incurred in the year,General and administration expenses incurred in the year,,
Labour,Labour,Labour,"11,704,067,422","15,894,733,282",,
Depreciation and amortisation,Depreciation and amortisation,Depreciation and amortisation,"2,541,734,407","2,432,363,101",,
Raw materials,Raw materials,Raw materials,"29,980,209","26,496,663",,
Out-sourced services,Out-sourced services,Out-sourced services,"6,588,996,191","10,991,506,218",,
Other expenses,Other expenses,Other expenses,"8,917,779,374","9,633,314,541",,
,,,"29,782,557,603","38,978,413,805",,
