row_label_raw,row_label_full,Related parties,Relationship,numeric__Relationship
GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,GELEX Group Joint Stock Company,Parent company,
Vietnam Electric Cable Corporation,Vietnam Electric Cable Corporation,Vietnam Electric Cable Corporation,Subsidiary,
Electrical Equipment Joint Stock Company,Electrical Equipment Joint Stock Company,Electrical Equipment Joint Stock Company,Subsidiary,
Hanoi Electromechanical Manufacturing Joint Stock Company,Hanoi Electromechanical Manufacturing Joint Stock Company,Hanoi Electromechanical Manufacturing Joint Stock Company,Subsidiary,
EMIC Electrical Measuring Instrument Joint Stock Company,EMIC Electrical Measuring Instrument Joint Stock Company,EMIC Electrical Measuring Instrument Joint Stock Company,Subsidiary,
"CFT Vina Copper Co., Ltd","CFT Vina Copper Co., Ltd","CFT Vina Copper Co., Ltd",Subsidiary,
"GELEX Power Generation Co., Ltd.","GELEX Power Generation Co., Ltd.","GELEX Power Generation Co., Ltd.",Subsidiary,
GELEX Electricity Trading Joint Stock Company,GELEX Electricity Trading Joint Stock Company,GELEX Electricity Trading Joint Stock Company,Subsidiary,
MEE Power Transformer Manufacturing Joint Stock Company,MEE Power Transformer Manufacturing Joint Stock Company,MEE Power Transformer Manufacturing Joint Stock Company,Subsidiary,
Phu Thanh My Joint Stock Company,Phu Thanh My Joint Stock Company,Phu Thanh My Joint Stock Company,Indirect subsidiary,
CADIVI Dong Nai Company Limited,CADIVI Dong Nai Company Limited,CADIVI Dong Nai Company Limited,Indirect subsidiary,
CADIVI Mien Bac Company Limited,CADIVI Mien Bac Company Limited,CADIVI Mien Bac Company Limited,Indirect subsidiary,
GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,GELEX Infrastructure Joint Stock Company,Affiliate,
Computer - Communication - Control 3C Incorporation,Computer - Communication - Control 3C Incorporation,Computer - Communication - Control 3C Incorporation,Shareholder/Related party of the member of the Board of Directors,
GVI Joint Stock Company,GVI Joint Stock Company,GVI Joint Stock Company,Related party of the member of Board of Directors,
"S.A.S - CTAMAD Co., Ltd","S.A.S - CTAMAD Co., Ltd","S.A.S - CTAMAD Co., Ltd",Affiliates of Subsidiary,
"HEM Electromechanical Manufacturing Co., Ltd.","HEM Electromechanical Manufacturing Co., Ltd.","HEM Electromechanical Manufacturing Co., Ltd.",Associate of Subsidiary from 29/11/2024,
Hanoi Electromechanical Company Limited,Hanoi Electromechanical Company Limited,Hanoi Electromechanical Company Limited,Associate of Subsidiary from 29/11/2024,
VIX Securities Joint Stock Company,VIX Securities Joint Stock Company,VIX Securities Joint Stock Company,Related parties of Board members in the previous year,
