row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
,,,VND,VND,,
Profit before tax,Profit before tax,Profit before tax,"853,819,559,907","1,254,055,156,581",,
Adjustments for taxable profit,Adjustments for taxable profit,Adjustments for taxable profit,"(900,181,067,947)","(1,182,754,417,147)",,
Add back adjustments:,Add back adjustments:,Add back adjustments:,"42,118,488,228","96,500,888,691",,
- Loss on revaluation of foreign currency items at the end of current year,- Loss on revaluation of foreign currency items at the end of current year,- Loss on revaluation of foreign currency items at the end of current year,"1,658,811","12,892,592",,
- Non-deductible depreciation expenses of car,- Non-deductible depreciation expenses of car,- Non-deductible depreciation expenses of car,"644,620,063","493,748,390",,
- Remuneration of the non-executive directors,- Remuneration of the non-executive directors,- Remuneration of the non-executive directors,"930,000,000","840,000,000",,
- Adjust the estimate of investment transfer fees,- Adjust the estimate of investment transfer fees,- Adjust the estimate of investment transfer fees,"34,939,877,656","89,237,657,196",,
- Other non-deductible expenses,- Other non-deductible expenses,- Other non-deductible expenses,"5,602,331,698","5,916,590,513",,
Less adjustments:,Less adjustments:,Less adjustments:,"942,299,556,175","1,279,255,305,838",,
"- Dividends, profit received","- Dividends, profit received","- Dividends, profit received","942,286,663,583","1,279,014,136,800",,
- Loss on revaluation of foreign currency items at the end of prior year,- Loss on revaluation of foreign currency items at the end of prior year,- Loss on revaluation of foreign currency items at the end of prior year,"12,892,592","241,169,038",,
Losses of previous years carried forward,Losses of previous years carried forward,Losses of previous years carried forward,,"(71,300,739,434)",,
Taxable loss,Taxable loss,Taxable loss,"(46,361,508,040)",,,
Corporate income tax expense based on taxable profit in the current year,Corporate income tax expense based on taxable profit in the current year,Corporate income tax expense based on taxable profit in the current year,,,,
